step,community_0,community_1,community_2,community_4,community_5,community_6,community_9,community_10,community_12,community_13,community_14,community_15,community_16,community_21,community_22,community_24,community_26,community_27,community_29,community_31,community_42,community_45,community_57,community_58
56,0.0065,0.0050,0.0037,0.0001,0.0024,0.0024,0.0099,0.0012,0.0058,0.0016,0.0002,0.0020,0.0027,0.0012,0.0034,0.0350,0.0038,0.0000,0.0275,0.0025,0.0253,0.0361,0.0167,0.0013
57,0.0065,0.0051,0.0038,0.0001,0.0024,0.0024,0.0100,0.0012,0.0058,0.0016,0.0002,0.0021,0.0028,0.0013,0.0036,0.0351,0.0039,0.0000,0.0275,0.0026,0.0253,0.0362,0.0168,0.0013
58,0.0066,0.0053,0.0038,0.0001,0.0025,0.0025,0.0100,0.0013,0.0058,0.0016,0.0002,0.0022,0.0028,0.0013,0.0039,0.0352,0.0039,0.0000,0.0276,0.0027,0.0252,0.0362,0.0169,0.0014
59,0.0066,0.0055,0.0039,0.0001,0.0025,0.0025,0.0101,0.0013,0.0059,0.0017,0.0002,0.0023,0.0029,0.0014,0.0041,0.0353,0.0040,0.0000,0.0276,0.0028,0.0251,0.0362,0.0170,0.0014
60,0.0066,0.0057,0.0039,0.0001,0.0026,0.0026,0.0101,0.0013,0.0059,0.0017,0.0002,0.0024,0.0030,0.0014,0.0043,0.0354,0.0041,0.0000,0.0276,0.0029,0.0251,0.0362,0.0171,0.0014
61,0.0066,0.0058,0.0040,0.0001,0.0026,0.0026,0.0102,0.0014,0.0059,0.0018,0.0002,0.0025,0.0030,0.0015,0.0046,0.0355,0.0042,0.0000,0.0276,0.0031,0.0250,0.0362,0.0172,0.0014
62,0.0067,0.0060,0.0040,0.0001,0.0027,0.0027,0.0102,0.0014,0.0060,0.0018,0.0002,0.0026,0.0031,0.0015,0.0049,0.0356,0.0043,0.0001,0.0276,0.0032,0.0249,0.0362,0.0173,0.0015
63,0.0067,0.0062,0.0041,0.0002,0.0027,0.0027,0.0102,0.0014,0.0060,0.0018,0.0002,0.0028,0.0032,0.0016,0.0052,0.0357,0.0044,0.0001,0.0275,0.0034,0.0248,0.0362,0.0173,0.0015
64,0.0067,0.0065,0.0041,0.0002,0.0028,0.0028,0.0103,0.0014,0.0060,0.0019,0.0003,0.0029,0.0032,0.0016,0.0055,0.0357,0.0045,0.0001,0.0275,0.0036,0.0247,0.0362,0.0174,0.0015
65,0.0067,0.0067,0.0042,0.0002,0.0028,0.0028,0.0103,0.0015,0.0061,0.0019,0.0003,0.0030,0.0033,0.0017,0.0058,0.0358,0.0045,0.0001,0.0275,0.0037,0.0246,0.0362,0.0175,0.0015
66,0.0067,0.0069,0.0042,0.0002,0.0028,0.0029,0.0103,0.0015,0.0061,0.0020,0.0003,0.0032,0.0034,0.0017,0.0061,0.0358,0.0046,0.0001,0.0274,0.0039,0.0246,0.0362,0.0175,0.0016
67,0.0067,0.0071,0.0043,0.0002,0.0029,0.0029,0.0104,0.0015,0.0061,0.0020,0.0003,0.0033,0.0035,0.0018,0.0065,0.0359,0.0047,0.0001,0.0274,0.0041,0.0245,0.0361,0.0176,0.0016
68,0.0068,0.0074,0.0043,0.0002,0.0029,0.0029,0.0104,0.0015,0.0062,0.0020,0.0003,0.0034,0.0035,0.0018,0.0069,0.0359,0.0048,0.0001,0.0273,0.0043,0.0244,0.0361,0.0177,0.0016
69,0.0068,0.0076,0.0044,0.0002,0.0030,0.0030,0.0104,0.0015,0.0062,0.0021,0.0003,0.0036,0.0036,0.0019,0.0073,0.0359,0.0049,0.0001,0.0272,0.0045,0.0243,0.0361,0.0177,0.0016
70,0.0068,0.0079,0.0044,0.0002,0.0030,0.0030,0.0105,0.0016,0.0062,0.0021,0.0004,0.0037,0.0037,0.0019,0.0077,0.0360,0.0049,0.0001,0.0272,0.0048,0.0242,0.0360,0.0178,0.0017
71,0.0068,0.0081,0.0045,0.0002,0.0030,0.0031,0.0105,0.0016,0.0063,0.0022,0.0004,0.0039,0.0038,0.0020,0.0081,0.0360,0.0050,0.0001,0.0271,0.0050,0.0241,0.0360,0.0178,0.0017
72,0.0068,0.0084,0.0045,0.0002,0.0030,0.0031,0.0105,0.0016,0.0063,0.0022,0.0004,0.0040,0.0038,0.0020,0.0085,0.0360,0.0051,0.0001,0.0270,0.0053,0.0240,0.0359,0.0179,0.0017
73,0.0068,0.0087,0.0046,0.0002,0.0031,0.0031,0.0105,0.0016,0.0063,0.0022,0.0004,0.0042,0.0039,0.0021,0.0090,0.0360,0.0051,0.0001,0.0270,0.0055,0.0239,0.0359,0.0179,0.0017
74,0.0068,0.0090,0.0046,0.0002,0.0031,0.0032,0.0106,0.0016,0.0064,0.0023,0.0004,0.0044,0.0040,0.0022,0.0094,0.0361,0.0052,0.0001,0.0269,0.0058,0.0239,0.0359,0.0180,0.0017
75,0.0068,0.0092,0.0047,0.0002,0.0031,0.0032,0.0106,0.0017,0.0064,0.0023,0.0005,0.0046,0.0041,0.0022,0.0099,0.0361,0.0053,0.0001,0.0268,0.0061,0.0238,0.0358,0.0180,0.0018
76,0.0068,0.0095,0.0047,0.0002,0.0031,0.0032,0.0106,0.0017,0.0064,0.0024,0.0005,0.0047,0.0042,0.0023,0.0104,0.0361,0.0053,0.0001,0.0267,0.0064,0.0237,0.0358,0.0181,0.0018
77,0.0068,0.0098,0.0047,0.0002,0.0032,0.0033,0.0106,0.0017,0.0065,0.0024,0.0005,0.0049,0.0042,0.0024,0.0109,0.0361,0.0054,0.0001,0.0266,0.0067,0.0236,0.0357,0.0181,0.0018
78,0.0068,0.0101,0.0048,0.0003,0.0032,0.0033,0.0106,0.0017,0.0065,0.0025,0.0006,0.0051,0.0043,0.0024,0.0114,0.0361,0.0054,0.0001,0.0265,0.0071,0.0235,0.0357,0.0182,0.0018
79,0.0068,0.0104,0.0048,0.0003,0.0032,0.0033,0.0107,0.0017,0.0065,0.0025,0.0006,0.0053,0.0044,0.0025,0.0120,0.0361,0.0055,0.0002,0.0265,0.0074,0.0234,0.0356,0.0182,0.0018
80,0.0068,0.0107,0.0049,0.0003,0.0032,0.0033,0.0107,0.0017,0.0066,0.0025,0.0006,0.0055,0.0045,0.0026,0.0125,0.0361,0.0055,0.0002,0.0264,0.0078,0.0234,0.0356,0.0182,0.0019
81,0.0068,0.0111,0.0049,0.0003,0.0033,0.0034,0.0107,0.0018,0.0066,0.0026,0.0006,0.0057,0.0046,0.0027,0.0130,0.0361,0.0056,0.0002,0.0263,0.0081,0.0233,0.0355,0.0183,0.0019
82,0.0068,0.0114,0.0050,0.0003,0.0033,0.0034,0.0107,0.0018,0.0066,0.0026,0.0007,0.0059,0.0047,0.0027,0.0136,0.0361,0.0056,0.0002,0.0262,0.0085,0.0232,0.0355,0.0183,0.0019
83,0.0069,0.0117,0.0050,0.0003,0.0033,0.0034,0.0107,0.0018,0.0067,0.0027,0.0007,0.0061,0.0048,0.0028,0.0141,0.0361,0.0057,0.0002,0.0261,0.0089,0.0231,0.0354,0.0183,0.0019
84,0.0069,0.0120,0.0051,0.0003,0.0033,0.0035,0.0108,0.0018,0.0067,0.0027,0.0008,0.0064,0.0048,0.0029,0.0147,0.0361,0.0057,0.0002,0.0260,0.0093,0.0231,0.0354,0.0184,0.0019
85,0.0069,0.0123,0.0051,0.0003,0.0033,0.0035,0.0108,0.0018,0.0067,0.0028,0.0008,0.0066,0.0049,0.0030,0.0152,0.0361,0.0058,0.0002,0.0259,0.0098,0.0230,0.0353,0.0184,0.0019
