step,with Clustered Zealots_mean_opinion,with Clustered Zealots_mean_abs_opinion,with Clustered Zealots_non_zealot_variance,with Clustered Zealots_cluster_variance,with Clustered Zealots_negative_count,with Clustered Zealots_negative_mean,with Clustered Zealots_positive_count,with Clustered Zealots_positive_mean,with Clustered Zealots_polarization_index,with Clustered Zealots_identity_1_mean_opinion,with Clustered Zealots_identity_neg1_mean_opinion,with Clustered Zealots_identity_opinion_difference
69,0.0788,0.3586,0.1443,0.0471,219.4,-0.3144,260.6,0.3403,30.6563,0.0589,0.0195,0.0394
70,0.0789,0.3597,0.1450,0.0471,219.4,-0.3155,260.6,0.3413,30.8399,0.0589,0.0194,0.0395
71,0.0789,0.3607,0.1457,0.0472,219.7,-0.3161,260.3,0.3426,30.9631,0.0590,0.0194,0.0396
72,0.0789,0.3617,0.1464,0.0472,219.6,-0.3172,260.4,0.3434,31.0586,0.0590,0.0193,0.0397
73,0.0789,0.3626,0.1471,0.0473,219.7,-0.3181,260.3,0.3444,31.1642,0.0591,0.0193,0.0398
74,0.0789,0.3635,0.1478,0.0473,219.7,-0.3191,260.3,0.3453,31.3035,0.0591,0.0192,0.0399
75,0.0789,0.3644,0.1484,0.0474,219.9,-0.3197,260.1,0.3464,31.4021,0.0592,0.0192,0.0399
76,0.0789,0.3653,0.1491,0.0474,219.8,-0.3208,260.2,0.3470,31.5139,0.0592,0.0192,0.0400
77,0.0789,0.3661,0.1497,0.0474,220.0,-0.3214,260.0,0.3481,31.5382,0.0592,0.0191,0.0401
78,0.0789,0.3669,0.1503,0.0474,219.8,-0.3226,260.2,0.3486,31.6651,0.0592,0.0191,0.0401
79,0.0789,0.3677,0.1508,0.0475,219.7,-0.3236,260.3,0.3493,31.6964,0.0593,0.0191,0.0402
80,0.0789,0.3685,0.1514,0.0475,219.4,-0.3250,260.6,0.3496,31.8027,0.0593,0.0190,0.0403
81,0.0789,0.3693,0.1519,0.0475,219.3,-0.3259,260.7,0.3502,31.9016,0.0593,0.0190,0.0403
82,0.0789,0.3700,0.1525,0.0475,219.4,-0.3265,260.6,0.3510,31.9642,0.0594,0.0190,0.0403
83,0.0789,0.3707,0.1530,0.0475,219.5,-0.3271,260.5,0.3519,32.0422,0.0594,0.0190,0.0404
84,0.0790,0.3714,0.1535,0.0475,219.3,-0.3282,260.7,0.3522,32.0582,0.0595,0.0190,0.0405
85,0.0790,0.3721,0.1540,0.0475,219.3,-0.3289,260.7,0.3530,32.1467,0.0596,0.0190,0.0405
86,0.0791,0.3728,0.1545,0.0475,219.3,-0.3296,260.7,0.3536,32.2454,0.0596,0.0191,0.0405
87,0.0791,0.3735,0.1549,0.0475,219.3,-0.3302,260.7,0.3544,32.3987,0.0597,0.0191,0.0405
88,0.0792,0.3742,0.1554,0.0475,219.1,-0.3312,260.9,0.3548,32.4904,0.0597,0.0192,0.0405
89,0.0792,0.3748,0.1559,0.0475,218.9,-0.3321,261.1,0.3552,32.5217,0.0598,0.0192,0.0405
90,0.0793,0.3754,0.1564,0.0474,218.7,-0.3330,261.3,0.3557,32.6145,0.0598,0.0193,0.0405
91,0.0794,0.3761,0.1568,0.0474,218.8,-0.3334,261.2,0.3565,32.7170,0.0599,0.0194,0.0405
92,0.0794,0.3766,0.1573,0.0474,218.6,-0.3342,261.4,0.3568,32.8280,0.0599,0.0195,0.0405
93,0.0795,0.3772,0.1577,0.0474,218.7,-0.3345,261.3,0.3576,32.8884,0.0600,0.0196,0.0404
94,0.0796,0.3778,0.1581,0.0474,218.6,-0.3352,261.4,0.3580,32.9866,0.0601,0.0196,0.0404
95,0.0797,0.3783,0.1585,0.0474,218.5,-0.3359,261.5,0.3585,33.0634,0.0602,0.0197,0.0404
