step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
161,0.3516,0.3516,0.0446,0.0156,0,0.0000,480,0.3246,0.0000,0.3526,0.3046,0.0480
162,0.3523,0.3523,0.0446,0.0156,0,0.0000,480,0.3253,0.0000,0.3528,0.3058,0.0470
163,0.3530,0.3530,0.0447,0.0156,0,0.0000,480,0.3261,0.0000,0.3529,0.3069,0.0460
164,0.3537,0.3537,0.0447,0.0157,0,0.0000,480,0.3268,0.0000,0.3531,0.3080,0.0451
165,0.3544,0.3544,0.0447,0.0157,0,0.0000,480,0.3275,0.0000,0.3532,0.3091,0.0441
166,0.3550,0.3550,0.0447,0.0157,0,0.0000,480,0.3282,0.0000,0.3533,0.3102,0.0432
167,0.3557,0.3557,0.0447,0.0158,0,0.0000,480,0.3288,0.0000,0.3535,0.3112,0.0423
168,0.3563,0.3563,0.0447,0.0158,0,0.0000,480,0.3295,0.0000,0.3536,0.3122,0.0414
169,0.3569,0.3569,0.0447,0.0158,0,0.0000,480,0.3301,0.0000,0.3538,0.3133,0.0405
170,0.3575,0.3575,0.0448,0.0159,0,0.0000,480,0.3308,0.0000,0.3539,0.3142,0.0396
171,0.3581,0.3581,0.0448,0.0159,0,0.0000,480,0.3314,0.0000,0.3540,0.3152,0.0388
172,0.3587,0.3587,0.0448,0.0159,0,0.0000,480,0.3320,0.0000,0.3541,0.3162,0.0380
173,0.3593,0.3593,0.0448,0.0159,0,0.0000,480,0.3326,0.0000,0.3543,0.3171,0.0371
174,0.3599,0.3599,0.0448,0.0160,0,0.0000,480,0.3332,0.0000,0.3544,0.3181,0.0363
175,0.3604,0.3604,0.0448,0.0160,0,0.0000,480,0.3338,0.0000,0.3545,0.3190,0.0356
176,0.3610,0.3610,0.0448,0.0160,0,0.0000,480,0.3343,0.0000,0.3546,0.3199,0.0348
177,0.3615,0.3615,0.0448,0.0161,0,0.0000,480,0.3349,0.0000,0.3548,0.3207,0.0340
178,0.3620,0.3620,0.0448,0.0161,0,0.0000,480,0.3355,0.0000,0.3549,0.3216,0.0333
179,0.3626,0.3626,0.0448,0.0161,0,0.0000,480,0.3360,0.0000,0.3550,0.3224,0.0325
180,0.3631,0.3631,0.0448,0.0161,0,0.0000,480,0.3365,0.0000,0.3551,0.3233,0.0318
181,0.3636,0.3636,0.0448,0.0162,0,0.0000,480,0.3371,0.0000,0.3552,0.3241,0.0311
182,0.3641,0.3641,0.0448,0.0162,0,0.0000,480,0.3376,0.0000,0.3553,0.3249,0.0304
183,0.3645,0.3645,0.0449,0.0162,0,0.0000,480,0.3381,0.0000,0.3554,0.3257,0.0297
184,0.3650,0.3650,0.0449,0.0162,0,0.0000,480,0.3386,0.0000,0.3555,0.3264,0.0291
185,0.3655,0.3655,0.0449,0.0162,0,0.0000,480,0.3390,0.0000,0.3556,0.3272,0.0284
186,0.3659,0.3659,0.0449,0.0163,0,0.0000,480,0.3395,0.0000,0.3557,0.3279,0.0278
187,0.3664,0.3664,0.0449,0.0163,0,0.0000,480,0.3400,0.0000,0.3558,0.3287,0.0272
188,0.3668,0.3668,0.0449,0.0163,0,0.0000,480,0.3404,0.0000,0.3559,0.3294,0.0265
189,0.3673,0.3673,0.0449,0.0163,0,0.0000,480,0.3409,0.0000,0.3560,0.3301,0.0259
190,0.3677,0.3677,0.0449,0.0164,0,0.0000,480,0.3413,0.0000,0.3561,0.3308,0.0253
191,0.3681,0.3681,0.0449,0.0164,0,0.0000,480,0.3418,0.0000,0.3562,0.3315,0.0248
192,0.3685,0.3685,0.0449,0.0164,0,0.0000,480,0.3422,0.0000,0.3563,0.3321,0.0242
193,0.3689,0.3689,0.0449,0.0164,0,0.0000,480,0.3426,0.0000,0.3564,0.3328,0.0236
194,0.3693,0.3693,0.0449,0.0164,0,0.0000,480,0.3430,0.0000,0.3565,0.3334,0.0231
195,0.3697,0.3697,0.0449,0.0164,0,0.0000,480,0.3434,0.0000,0.3566,0.3340,0.0225
196,0.3701,0.3701,0.0449,0.0165,0,0.0000,480,0.3438,0.0000,0.3567,0.3347,0.0220
197,0.3705,0.3705,0.0449,0.0165,0,0.0000,480,0.3442,0.0000,0.3568,0.3353,0.0215
198,0.3708,0.3708,0.0448,0.0165,0,0.0000,480,0.3446,0.0000,0.3568,0.3359,0.0210
199,0.3712,0.3712,0.0448,0.0165,0,0.0000,480,0.3450,0.0000,0.3569,0.3364,0.0205
200,0.3715,0.3715,0.0448,0.0165,0,0.0000,480,0.3453,0.0000,0.3570,0.3370,0.0200
201,0.3719,0.3719,0.0448,0.0165,0,0.0000,480,0.3457,0.0000,0.3571,0.3376,0.0195
202,0.3722,0.3722,0.0448,0.0166,0,0.0000,480,0.3461,0.0000,0.3572,0.3381,0.0190
203,0.3726,0.3726,0.0448,0.0166,0,0.0000,480,0.3464,0.0000,0.3572,0.3387,0.0186
204,0.3729,0.3729,0.0448,0.0166,0,0.0000,480,0.3468,0.0000,0.3573,0.3392,0.0181
205,0.3732,0.3732,0.0448,0.0166,0,0.0000,480,0.3471,0.0000,0.3574,0.3397,0.0177
206,0.3735,0.3735,0.0448,0.0166,0,0.0000,480,0.3474,0.0000,0.3575,0.3402,0.0172
207,0.3738,0.3738,0.0448,0.0166,0,0.0000,480,0.3477,0.0000,0.3575,0.3407,0.0168
208,0.3741,0.3741,0.0448,0.0167,0,0.0000,480,0.3481,0.0000,0.3576,0.3412,0.0164
209,0.3744,0.3744,0.0448,0.0167,0,0.0000,480,0.3484,0.0000,0.3577,0.3417,0.0160
210,0.3747,0.3747,0.0448,0.0167,0,0.0000,480,0.3487,0.0000,0.3578,0.3422,0.0156
211,0.3750,0.3750,0.0448,0.0167,0,0.0000,480,0.3490,0.0000,0.3578,0.3427,0.0152
212,0.3753,0.3753,0.0448,0.0167,0,0.0000,480,0.3493,0.0000,0.3579,0.3431,0.0148
213,0.3756,0.3756,0.0448,0.0167,0,0.0000,480,0.3496,0.0000,0.3580,0.3436,0.0144
214,0.3759,0.3759,0.0448,0.0167,0,0.0000,480,0.3498,0.0000,0.3580,0.3440,0.0140
215,0.3761,0.3761,0.0448,0.0167,0,0.0000,480,0.3501,0.0000,0.3581,0.3444,0.0137
216,0.3764,0.3764,0.0448,0.0168,0,0.0000,480,0.3504,0.0000,0.3582,0.3449,0.0133
217,0.3766,0.3766,0.0448,0.0168,0,0.0000,480,0.3507,0.0000,0.3582,0.3453,0.0129
218,0.3769,0.3769,0.0448,0.0168,0,0.0000,480,0.3509,0.0000,0.3583,0.3457,0.0126
219,0.3771,0.3771,0.0447,0.0168,0,0.0000,480,0.3512,0.0000,0.3583,0.3461,0.0123
220,0.3774,0.3774,0.0447,0.0168,0,0.0000,480,0.3514,0.0000,0.3584,0.3465,0.0119
221,0.3776,0.3776,0.0447,0.0168,0,0.0000,480,0.3517,0.0000,0.3585,0.3469,0.0116
222,0.3779,0.3779,0.0447,0.0168,0,0.0000,480,0.3519,0.0000,0.3585,0.3472,0.0113
223,0.3781,0.3781,0.0447,0.0168,0,0.0000,480,0.3522,0.0000,0.3586,0.3476,0.0110
224,0.3783,0.3783,0.0447,0.0168,0,0.0000,480,0.3524,0.0000,0.3586,0.3480,0.0107
225,0.3785,0.3785,0.0447,0.0168,0,0.0000,480,0.3526,0.0000,0.3587,0.3483,0.0104
226,0.3788,0.3788,0.0447,0.0169,0,0.0000,480,0.3529,0.0000,0.3587,0.3487,0.0101
227,0.3790,0.3790,0.0447,0.0169,0,0.0000,480,0.3531,0.0000,0.3588,0.3490,0.0098
228,0.3792,0.3792,0.0447,0.0169,0,0.0000,480,0.3533,0.0000,0.3589,0.3494,0.0095
229,0.3794,0.3794,0.0447,0.0169,0,0.0000,480,0.3535,0.0000,0.3589,0.3497,0.0092
230,0.3796,0.3796,0.0447,0.0169,0,0.0000,480,0.3537,0.0000,0.3590,0.3500,0.0089
231,0.3798,0.3798,0.0447,0.0169,0,0.0000,480,0.3540,0.0000,0.3590,0.3503,0.0087
232,0.3800,0.3800,0.0447,0.0169,0,0.0000,480,0.3542,0.0000,0.3591,0.3507,0.0084
233,0.3802,0.3802,0.0447,0.0169,0,0.0000,480,0.3544,0.0000,0.3591,0.3510,0.0081
234,0.3804,0.3804,0.0447,0.0169,0,0.0000,480,0.3546,0.0000,0.3592,0.3513,0.0079
235,0.3806,0.3806,0.0446,0.0169,0,0.0000,480,0.3547,0.0000,0.3592,0.3516,0.0076
236,0.3807,0.3807,0.0446,0.0169,0,0.0000,480,0.3549,0.0000,0.3593,0.3519,0.0074
237,0.3809,0.3809,0.0446,0.0169,0,0.0000,480,0.3551,0.0000,0.3593,0.3521,0.0072
238,0.3811,0.3811,0.0446,0.0170,0,0.0000,480,0.3553,0.0000,0.3593,0.3524,0.0069
239,0.3813,0.3813,0.0446,0.0170,0,0.0000,480,0.3555,0.0000,0.3594,0.3527,0.0067
240,0.3814,0.3814,0.0446,0.0170,0,0.0000,480,0.3557,0.0000,0.3594,0.3530,0.0065
241,0.3816,0.3816,0.0446,0.0170,0,0.0000,480,0.3558,0.0000,0.3595,0.3532,0.0062
