step,with Random Zealots_mean_opinion,with Random Zealots_mean_abs_opinion,with Random Zealots_non_zealot_variance,with Random Zealots_cluster_variance,with Random Zealots_negative_count,with Random Zealots_negative_mean,with Random Zealots_positive_count,with Random Zealots_positive_mean,with Random Zealots_polarization_index,with Random Zealots_identity_1_mean_opinion,with Random Zealots_identity_neg1_mean_opinion,with Random Zealots_identity_opinion_difference
86,0.1375,0.3777,0.1489,0.0493,185.8,-0.3147,294.2,0.3666,30.3495,0.1851,0.0262,0.1590
87,0.1378,0.3784,0.1494,0.0493,185.8,-0.3154,294.2,0.3674,30.4224,0.1856,0.0263,0.1593
88,0.1380,0.3790,0.1498,0.0493,185.8,-0.3160,294.2,0.3682,30.4758,0.1859,0.0264,0.1595
89,0.1383,0.3797,0.1502,0.0492,185.8,-0.3165,294.2,0.3690,30.5322,0.1863,0.0266,0.1597
90,0.1385,0.3804,0.1506,0.0492,185.5,-0.3175,294.5,0.3693,30.6315,0.1866,0.0267,0.1599
91,0.1387,0.3810,0.1510,0.0492,185.7,-0.3176,294.3,0.3703,30.7488,0.1869,0.0269,0.1600
92,0.1389,0.3816,0.1514,0.0492,185.7,-0.3180,294.3,0.3710,30.8136,0.1872,0.0270,0.1601
93,0.1391,0.3822,0.1518,0.0491,185.8,-0.3183,294.2,0.3717,30.8392,0.1875,0.0272,0.1603
94,0.1393,0.3828,0.1522,0.0491,186.1,-0.3184,293.9,0.3729,30.9768,0.1877,0.0274,0.1603
95,0.1395,0.3834,0.1525,0.0491,186.1,-0.3189,293.9,0.3735,31.0252,0.1879,0.0275,0.1604
96,0.1397,0.3840,0.1529,0.0491,186.2,-0.3192,293.8,0.3743,31.1691,0.1881,0.0277,0.1604
97,0.1398,0.3845,0.1533,0.0491,186.2,-0.3196,293.8,0.3749,31.2183,0.1883,0.0278,0.1605
98,0.1400,0.3850,0.1536,0.0491,185.9,-0.3206,294.1,0.3751,31.1349,0.1885,0.0280,0.1605
99,0.1402,0.3856,0.1540,0.0490,185.8,-0.3212,294.2,0.3756,31.2184,0.1887,0.0281,0.1605
100,0.1403,0.3861,0.1543,0.0490,185.8,-0.3214,294.2,0.3761,31.3295,0.1889,0.0284,0.1605
101,0.1405,0.3866,0.1546,0.0490,185.8,-0.3217,294.2,0.3767,31.3441,0.1890,0.0286,0.1605
102,0.1407,0.3870,0.1549,0.0490,185.8,-0.3219,294.2,0.3772,31.4543,0.1892,0.0288,0.1605
103,0.1409,0.3875,0.1552,0.0490,185.9,-0.3221,294.1,0.3779,31.5245,0.1894,0.0289,0.1605
104,0.1411,0.3880,0.1555,0.0490,185.8,-0.3225,294.2,0.3782,31.5461,0.1896,0.0291,0.1605
105,0.1412,0.3884,0.1558,0.0490,185.8,-0.3229,294.2,0.3788,31.6016,0.1898,0.0293,0.1605
106,0.1414,0.3888,0.1561,0.0489,185.8,-0.3230,294.2,0.3793,31.6023,0.1900,0.0295,0.1604
107,0.1416,0.3893,0.1564,0.0489,185.8,-0.3234,294.2,0.3798,31.6922,0.1901,0.0298,0.1604
108,0.1418,0.3897,0.1567,0.0489,185.6,-0.3241,294.4,0.3801,31.7321,0.1903,0.0300,0.1603
109,0.1419,0.3902,0.1570,0.0489,185.4,-0.3249,294.6,0.3803,31.8030,0.1905,0.0302,0.1603
110,0.1421,0.3906,0.1573,0.0489,185.3,-0.3255,294.7,0.3807,31.8093,0.1906,0.0304,0.1603
111,0.1422,0.3911,0.1575,0.0488,185.3,-0.3258,294.7,0.3812,31.9133,0.1908,0.0305,0.1603
112,0.1424,0.3915,0.1578,0.0488,185.3,-0.3262,294.7,0.3816,32.0174,0.1909,0.0307,0.1602
113,0.1425,0.3919,0.1581,0.0488,185.3,-0.3266,294.7,0.3821,32.0339,0.1911,0.0308,0.1602
114,0.1426,0.3923,0.1584,0.0488,185.3,-0.3269,294.7,0.3825,32.0892,0.1912,0.0310,0.1602
115,0.1427,0.3927,0.1586,0.0488,185.1,-0.3276,294.9,0.3827,32.1421,0.1913,0.0311,0.1602
116,0.1429,0.3930,0.1589,0.0488,185.1,-0.3278,294.9,0.3831,32.1899,0.1915,0.0313,0.1602
117,0.1430,0.3934,0.1591,0.0488,184.9,-0.3285,295.1,0.3833,32.2367,0.1917,0.0314,0.1603
118,0.1432,0.3938,0.1593,0.0488,185.0,-0.3285,295.0,0.3839,32.3082,0.1918,0.0316,0.1602
119,0.1433,0.3941,0.1596,0.0487,184.8,-0.3291,295.2,0.3840,32.3067,0.1920,0.0318,0.1601
120,0.1435,0.3945,0.1598,0.0487,184.8,-0.3294,295.2,0.3845,32.2873,0.1921,0.0321,0.1600
121,0.1437,0.3948,0.1600,0.0487,184.8,-0.3296,295.2,0.3849,32.4109,0.1923,0.0323,0.1600
122,0.1438,0.3952,0.1602,0.0487,184.9,-0.3297,295.1,0.3855,32.4342,0.1924,0.0325,0.1599
123,0.1440,0.3955,0.1604,0.0486,184.9,-0.3299,295.1,0.3858,32.4674,0.1925,0.0326,0.1599
124,0.1441,0.3958,0.1606,0.0486,184.9,-0.3302,295.1,0.3862,32.5193,0.1926,0.0328,0.1598
125,0.1442,0.3961,0.1608,0.0486,184.8,-0.3305,295.2,0.3864,32.5177,0.1928,0.0330,0.1598
