step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_12,community_14,community_16,community_17,community_22,community_23,community_24,community_26,community_33,community_34,community_37,community_41,community_42,community_43,community_45,community_54,community_68
85,0.0098,0.0002,0.0059,0.0189,0.0141,0.0185,0.0003,0.0167,0.0000,0.0087,0.0001,0.0021,0.0001,0.0000,0.0187,0.0011,0.0004,0.0134,0.0059,0.0145,0.0087,0.0010,0.0218,0.0068,0.0037,0.0007,0.0002
86,0.0099,0.0002,0.0059,0.0189,0.0143,0.0186,0.0003,0.0166,0.0000,0.0092,0.0001,0.0021,0.0001,0.0000,0.0187,0.0012,0.0004,0.0134,0.0060,0.0144,0.0087,0.0011,0.0220,0.0068,0.0040,0.0007,0.0002
87,0.0100,0.0002,0.0059,0.0189,0.0144,0.0186,0.0003,0.0166,0.0000,0.0096,0.0001,0.0022,0.0001,0.0000,0.0187,0.0012,0.0004,0.0134,0.0061,0.0143,0.0088,0.0011,0.0221,0.0067,0.0042,0.0008,0.0002
88,0.0100,0.0002,0.0059,0.0189,0.0145,0.0187,0.0003,0.0166,0.0000,0.0101,0.0001,0.0023,0.0001,0.0000,0.0187,0.0013,0.0004,0.0134,0.0062,0.0142,0.0088,0.0011,0.0223,0.0067,0.0045,0.0008,0.0002
89,0.0101,0.0002,0.0059,0.0189,0.0147,0.0187,0.0003,0.0166,0.0000,0.0106,0.0002,0.0024,0.0001,0.0000,0.0187,0.0013,0.0004,0.0134,0.0063,0.0141,0.0088,0.0011,0.0224,0.0067,0.0047,0.0008,0.0002
90,0.0102,0.0002,0.0059,0.0189,0.0148,0.0187,0.0003,0.0166,0.0000,0.0112,0.0002,0.0024,0.0001,0.0000,0.0187,0.0014,0.0005,0.0134,0.0064,0.0140,0.0088,0.0012,0.0226,0.0067,0.0050,0.0009,0.0002
91,0.0102,0.0003,0.0059,0.0189,0.0149,0.0188,0.0003,0.0166,0.0000,0.0117,0.0002,0.0025,0.0001,0.0000,0.0186,0.0015,0.0005,0.0134,0.0065,0.0139,0.0089,0.0012,0.0227,0.0067,0.0053,0.0009,0.0002
92,0.0103,0.0003,0.0059,0.0189,0.0150,0.0188,0.0003,0.0166,0.0000,0.0122,0.0002,0.0026,0.0001,0.0000,0.0186,0.0015,0.0005,0.0135,0.0066,0.0138,0.0089,0.0012,0.0228,0.0067,0.0056,0.0009,0.0002
93,0.0103,0.0003,0.0059,0.0189,0.0151,0.0189,0.0003,0.0165,0.0000,0.0127,0.0002,0.0027,0.0001,0.0000,0.0186,0.0016,0.0005,0.0135,0.0067,0.0137,0.0089,0.0012,0.0230,0.0067,0.0060,0.0010,0.0003
94,0.0104,0.0003,0.0059,0.0189,0.0153,0.0189,0.0004,0.0165,0.0000,0.0133,0.0002,0.0028,0.0001,0.0000,0.0186,0.0017,0.0005,0.0135,0.0068,0.0136,0.0089,0.0013,0.0231,0.0067,0.0063,0.0010,0.0003
95,0.0104,0.0004,0.0059,0.0189,0.0154,0.0189,0.0004,0.0165,0.0000,0.0138,0.0002,0.0028,0.0001,0.0000,0.0186,0.0018,0.0005,0.0135,0.0069,0.0135,0.0089,0.0013,0.0232,0.0066,0.0067,0.0011,0.0003
96,0.0105,0.0004,0.0059,0.0189,0.0155,0.0190,0.0004,0.0165,0.0000,0.0143,0.0002,0.0029,0.0001,0.0000,0.0186,0.0018,0.0005,0.0135,0.0070,0.0134,0.0090,0.0013,0.0233,0.0066,0.0070,0.0011,0.0003
97,0.0105,0.0004,0.0059,0.0189,0.0156,0.0190,0.0004,0.0165,0.0000,0.0149,0.0003,0.0030,0.0001,0.0000,0.0186,0.0019,0.0006,0.0135,0.0071,0.0133,0.0090,0.0014,0.0234,0.0066,0.0074,0.0012,0.0003
