step,with Random Zealots_mean_opinion,with Random Zealots_mean_abs_opinion,with Random Zealots_non_zealot_variance,with Random Zealots_cluster_variance,with Random Zealots_negative_count,with Random Zealots_negative_mean,with Random Zealots_positive_count,with Random Zealots_positive_mean,with Random Zealots_polarization_index,with Random Zealots_identity_1_mean_opinion,with Random Zealots_identity_neg1_mean_opinion,with Random Zealots_identity_opinion_difference
26,0.0934,0.1027,0.0120,0.0045,139.0,-0.0165,341.0,0.0850,0.0000,0.1084,0.0095,0.0989
27,0.0955,0.1044,0.0126,0.0046,137.2,-0.0161,342.8,0.0873,0.0000,0.1122,0.0102,0.1020
28,0.0975,0.1061,0.0132,0.0047,135.2,-0.0157,344.8,0.0894,0.0000,0.1159,0.0109,0.1050
29,0.0995,0.1078,0.0138,0.0049,133.4,-0.0153,346.6,0.0916,0.0000,0.1195,0.0117,0.1079
30,0.1016,0.1096,0.0144,0.0050,131.4,-0.0150,348.6,0.0938,0.0000,0.1232,0.0124,0.1107
31,0.1036,0.1113,0.0150,0.0051,128.4,-0.0148,351.6,0.0957,0.0000,0.1267,0.0132,0.1135
32,0.1056,0.1131,0.0157,0.0052,126.3,-0.0145,353.7,0.0978,0.0000,0.1302,0.0141,0.1162
33,0.1076,0.1149,0.0163,0.0053,124.5,-0.0143,355.5,0.0999,0.0000,0.1337,0.0149,0.1188
34,0.1096,0.1167,0.0169,0.0054,122.6,-0.0140,357.4,0.1020,0.0000,0.1371,0.0158,0.1213
35,0.1116,0.1185,0.0175,0.0055,121.0,-0.0138,359.0,0.1041,0.0000,0.1405,0.0167,0.1237
36,0.1136,0.1203,0.0181,0.0056,118.6,-0.0137,361.4,0.1060,0.0000,0.1438,0.0177,0.1261
37,0.1156,0.1221,0.0186,0.0057,117.0,-0.0135,363.0,0.1081,0.0000,0.1470,0.0186,0.1284
38,0.1175,0.1239,0.0192,0.0058,114.7,-0.0134,365.3,0.1100,0.0000,0.1502,0.0196,0.1306
39,0.1195,0.1257,0.0198,0.0059,112.5,-0.0133,367.5,0.1118,0.0000,0.1534,0.0207,0.1327
40,0.1214,0.1275,0.0204,0.0060,110.4,-0.0132,369.6,0.1137,0.0000,0.1565,0.0217,0.1347
41,0.1234,0.1293,0.0210,0.0061,108.7,-0.0130,371.3,0.1157,0.0000,0.1595,0.0228,0.1367
42,0.1253,0.1311,0.0215,0.0062,106.9,-0.0129,373.1,0.1175,0.0000,0.1625,0.0239,0.1386
43,0.1272,0.1329,0.0221,0.0063,105.2,-0.0129,374.8,0.1194,0.0000,0.1654,0.0251,0.1404
44,0.1292,0.1347,0.0226,0.0064,103.2,-0.0128,376.8,0.1213,0.0000,0.1683,0.0262,0.1421
45,0.1311,0.1365,0.0232,0.0065,101.4,-0.0127,378.6,0.1231,0.0000,0.1712,0.0274,0.1438
46,0.1330,0.1383,0.0237,0.0066,99.2,-0.0127,380.8,0.1247,0.0000,0.1740,0.0286,0.1453
47,0.1348,0.1401,0.0243,0.0067,96.7,-0.0128,383.3,0.1262,0.0000,0.1767,0.0299,0.1469
48,0.1367,0.1419,0.0248,0.0067,95.4,-0.0127,384.6,0.1282,0.0000,0.1794,0.0311,0.1483
49,0.1386,0.1437,0.0253,0.0068,93.6,-0.0127,386.4,0.1299,0.0000,0.1821,0.0324,0.1497
50,0.1404,0.1455,0.0259,0.0069,92.2,-0.0126,387.8,0.1318,0.0000,0.1847,0.0337,0.1510
51,0.1423,0.1473,0.0264,0.0070,91.2,-0.0125,388.8,0.1337,0.0000,0.1873,0.0350,0.1523
52,0.1441,0.1490,0.0269,0.0071,89.5,-0.0125,390.5,0.1354,0.0000,0.1898,0.0363,0.1535
53,0.1459,0.1508,0.0274,0.0072,87.8,-0.0125,392.2,0.1371,0.0000,0.1923,0.0376,0.1546
54,0.1478,0.1525,0.0279,0.0072,86.6,-0.0124,393.4,0.1389,0.0000,0.1947,0.0390,0.1557
55,0.1496,0.1543,0.0284,0.0073,85.1,-0.0124,394.9,0.1406,0.0000,0.1971,0.0404,0.1568
56,0.1513,0.1560,0.0288,0.0074,83.1,-0.0125,396.9,0.1421,0.0000,0.1995,0.0417,0.1578
57,0.1531,0.1577,0.0293,0.0075,80.9,-0.0126,399.1,0.1435,0.0000,0.2018,0.0431,0.1587
58,0.1549,0.1595,0.0298,0.0075,78.7,-0.0128,401.3,0.1448,0.0000,0.2041,0.0445,0.1596
59,0.1566,0.1612,0.0303,0.0076,77.5,-0.0127,402.5,0.1465,0.0000,0.2063,0.0459,0.1604
60,0.1584,0.1629,0.0307,0.0077,75.4,-0.0130,404.6,0.1478,0.0000,0.2085,0.0474,0.1612
61,0.1601,0.1646,0.0312,0.0078,73.7,-0.0132,406.3,0.1493,0.0000,0.2107,0.0488,0.1619
62,0.1618,0.1663,0.0316,0.0078,72.6,-0.0132,407.4,0.1509,0.0000,0.2128,0.0502,0.1626
63,0.1635,0.1680,0.0321,0.0079,70.6,-0.0135,409.4,0.1522,0.0000,0.2149,0.0517,0.1633
64,0.1652,0.1696,0.0325,0.0080,69.0,-0.0136,411.0,0.1536,0.0000,0.2170,0.0531,0.1639
65,0.1669,0.1713,0.0329,0.0080,68.3,-0.0137,411.7,0.1554,0.0000,0.2190,0.0546,0.1645
66,0.1685,0.1729,0.0333,0.0081,67.5,-0.0137,412.5,0.1570,0.0090,0.2210,0.0560,0.1650
67,0.1702,0.1746,0.0337,0.0082,66.1,-0.0139,413.9,0.1585,0.0090,0.2230,0.0575,0.1655
68,0.1718,0.1762,0.0342,0.0082,64.3,-0.0143,415.7,0.1597,0.0091,0.2249,0.0589,0.1660
69,0.1734,0.1778,0.0345,0.0083,63.2,-0.0144,416.8,0.1612,0.0092,0.2268,0.0604,0.1664
70,0.1750,0.1795,0.0349,0.0084,62.3,-0.0145,417.7,0.1628,0.0092,0.2287,0.0619,0.1668
71,0.1766,0.1811,0.0353,0.0084,61.3,-0.0146,418.7,0.1643,0.0093,0.2305,0.0633,0.1672
72,0.1782,0.1826,0.0357,0.0085,60.8,-0.0145,419.2,0.1660,0.0093,0.2323,0.0648,0.1675
73,0.1798,0.1842,0.0361,0.0086,59.6,-0.0147,420.4,0.1674,0.0094,0.2341,0.0663,0.1678
74,0.1813,0.1858,0.0364,0.0086,59.0,-0.0147,421.0,0.1689,0.0094,0.2358,0.0677,0.1680
75,0.1829,0.1873,0.0368,0.0087,57.9,-0.0149,422.1,0.1703,0.0095,0.2375,0.0692,0.1683
76,0.1844,0.1889,0.0372,0.0088,57.2,-0.0150,422.8,0.1718,0.0096,0.2392,0.0707,0.1685
77,0.1859,0.1904,0.0375,0.0088,57.0,-0.0149,423.0,0.1735,0.0097,0.2408,0.0721,0.1687
78,0.1874,0.1920,0.0378,0.0089,55.7,-0.0152,424.3,0.1747,0.0097,0.2425,0.0736,0.1688
79,0.1889,0.1935,0.0382,0.0090,55.3,-0.0152,424.7,0.1763,0.0198,0.2441,0.0751,0.1690
80,0.1904,0.1950,0.0385,0.0090,53.8,-0.0155,426.2,0.1774,0.0200,0.2456,0.0765,0.1691
81,0.1918,0.1965,0.0388,0.0091,53.0,-0.0158,427.0,0.1788,0.0202,0.2472,0.0780,0.1692
82,0.1933,0.1980,0.0391,0.0091,52.1,-0.0160,427.9,0.1801,0.0211,0.2487,0.0795,0.1692
83,0.1947,0.1995,0.0395,0.0092,51.3,-0.0162,428.7,0.1815,0.0212,0.2502,0.0809,0.1693
84,0.1961,0.2009,0.0398,0.0093,50.5,-0.0164,429.5,0.1829,0.0214,0.2517,0.0824,0.1693
85,0.1975,0.2024,0.0401,0.0093,50.3,-0.0165,429.7,0.1844,0.0216,0.2531,0.0838,0.1693
86,0.1989,0.2038,0.0404,0.0094,49.5,-0.0167,430.5,0.1857,0.0216,0.2545,0.0853,0.1692
87,0.2003,0.2053,0.0406,0.0094,49.0,-0.0169,431.0,0.1871,0.0218,0.2559,0.0867,0.1692
88,0.2017,0.2067,0.0409,0.0095,48.3,-0.0171,431.7,0.1885,0.0220,0.2573,0.0881,0.1691
89,0.2031,0.2081,0.0412,0.0096,47.6,-0.0173,432.4,0.1897,0.0221,0.2586,0.0896,0.1691
90,0.2044,0.2095,0.0415,0.0096,46.9,-0.0175,433.1,0.1910,0.0223,0.2600,0.0910,0.1690
91,0.2057,0.2109,0.0418,0.0097,46.4,-0.0176,433.6,0.1924,0.0340,0.2613,0.0924,0.1688
92,0.2071,0.2123,0.0420,0.0098,45.6,-0.0179,434.4,0.1936,0.0571,0.2626,0.0939,0.1687
93,0.2084,0.2137,0.0423,0.0098,45.0,-0.0180,435.0,0.1949,0.0571,0.2638,0.0953,0.1686
94,0.2097,0.2151,0.0425,0.0099,44.6,-0.0182,435.4,0.1962,0.0571,0.2651,0.0967,0.1684
95,0.2109,0.2164,0.0428,0.0099,44.1,-0.0184,435.9,0.1975,0.0920,0.2663,0.0981,0.1682
96,0.2122,0.2178,0.0430,0.0100,43.8,-0.0186,436.2,0.1989,0.0927,0.2675,0.0995,0.1680
97,0.2135,0.2191,0.0433,0.0101,43.4,-0.0187,436.6,0.2002,0.0938,0.2687,0.1009,0.1678
98,0.2147,0.2205,0.0435,0.0101,43.4,-0.0187,436.6,0.2016,0.0946,0.2698,0.1022,0.1676
99,0.2160,0.2218,0.0438,0.0102,42.8,-0.0190,437.2,0.2029,0.1072,0.2710,0.1036,0.1673
100,0.2172,0.2231,0.0440,0.0102,42.2,-0.0193,437.8,0.2041,0.1072,0.2721,0.1050,0.1671
101,0.2184,0.2244,0.0442,0.0103,41.7,-0.0195,438.3,0.2053,0.1072,0.2732,0.1064,0.1668
102,0.2196,0.2257,0.0444,0.0103,41.5,-0.0197,438.5,0.2066,0.1109,0.2743,0.1077,0.1666
103,0.2208,0.2270,0.0447,0.0104,40.8,-0.0200,439.2,0.2077,0.1527,0.2754,0.1091,0.1663
104,0.2220,0.2283,0.0449,0.0105,40.5,-0.0201,439.5,0.2089,0.1889,0.2764,0.1104,0.1660
105,0.2231,0.2296,0.0451,0.0105,40.4,-0.0202,439.6,0.2103,0.2009,0.2775,0.1118,0.1657
106,0.2243,0.2308,0.0453,0.0106,39.8,-0.0205,440.2,0.2114,0.2144,0.2785,0.1131,0.1654
107,0.2254,0.2321,0.0455,0.0106,39.9,-0.0204,440.1,0.2128,0.2266,0.2795,0.1144,0.1651
108,0.2266,0.2333,0.0457,0.0107,39.6,-0.0207,440.4,0.2140,0.2665,0.2805,0.1157,0.1648
109,0.2277,0.2346,0.0459,0.0107,39.6,-0.0207,440.4,0.2153,0.2788,0.2815,0.1170,0.1644
110,0.2288,0.2358,0.0461,0.0108,39.2,-0.0210,440.8,0.2164,0.3177,0.2824,0.1183,0.1641
111,0.2299,0.2370,0.0463,0.0109,39.3,-0.0210,440.7,0.2178,0.3198,0.2834,0.1196,0.1638
112,0.2310,0.2382,0.0465,0.0109,38.8,-0.0213,441.2,0.2188,0.3324,0.2843,0.1209,0.1634
113,0.2321,0.2394,0.0467,0.0110,38.7,-0.0214,441.3,0.2201,0.3540,0.2852,0.1222,0.1631
114,0.2331,0.2406,0.0469,0.0110,38.3,-0.0217,441.7,0.2212,0.3667,0.2861,0.1234,0.1627
115,0.2342,0.2418,0.0471,0.0111,38.0,-0.0218,442.0,0.2223,0.3822,0.2870,0.1247,0.1623
116,0.2352,0.2430,0.0472,0.0111,37.6,-0.0221,442.4,0.2233,0.4133,0.2879,0.1259,0.1620
117,0.2363,0.2442,0.0474,0.0112,37.3,-0.0224,442.7,0.2244,0.4136,0.2887,0.1272,0.1616
118,0.2373,0.2453,0.0476,0.0112,36.7,-0.0228,443.3,0.2253,0.4294,0.2896,0.1284,0.1612
119,0.2383,0.2465,0.0478,0.0113,36.4,-0.0230,443.6,0.2264,0.4454,0.2904,0.1296,0.1608
120,0.2393,0.2476,0.0479,0.0113,35.9,-0.0233,444.1,0.2274,0.4455,0.2912,0.1308,0.1604
121,0.2403,0.2488,0.0481,0.0114,35.5,-0.0237,444.5,0.2284,0.4587,0.2921,0.1320,0.1600
122,0.2413,0.2499,0.0483,0.0114,35.1,-0.0242,444.9,0.2293,0.4804,0.2929,0.1332,0.1596
123,0.2423,0.2510,0.0484,0.0115,35.2,-0.0243,444.8,0.2306,0.5237,0.2936,0.1344,0.1592
124,0.2432,0.2521,0.0486,0.0115,35.0,-0.0247,445.0,0.2316,0.5270,0.2944,0.1356,0.1588
125,0.2442,0.2532,0.0487,0.0116,35.1,-0.0248,444.9,0.2328,0.5574,0.2952,0.1368,0.1584
126,0.2451,0.2543,0.0489,0.0116,35.2,-0.0250,444.8,0.2340,0.5719,0.2959,0.1379,0.1580
127,0.2461,0.2554,0.0490,0.0117,34.9,-0.0254,445.1,0.2350,0.5892,0.2967,0.1391,0.1576
128,0.2470,0.2565,0.0492,0.0117,34.8,-0.0256,445.2,0.2361,0.5938,0.2974,0.1402,0.1572
129,0.2479,0.2576,0.0493,0.0118,34.8,-0.0258,445.2,0.2372,0.5938,0.2981,0.1414,0.1568
130,0.2489,0.2587,0.0495,0.0118,34.6,-0.0262,445.4,0.2382,0.5938,0.2989,0.1425,0.1563
131,0.2498,0.2597,0.0496,0.0119,34.4,-0.0266,445.6,0.2392,0.5972,0.2996,0.1436,0.1559
132,0.2507,0.2608,0.0497,0.0119,33.8,-0.0271,446.2,0.2399,0.6115,0.3003,0.1448,0.1555
133,0.2515,0.2618,0.0499,0.0120,33.6,-0.0274,446.4,0.2409,0.6303,0.3009,0.1459,0.1551
134,0.2524,0.2628,0.0500,0.0120,33.4,-0.0277,446.6,0.2419,0.6480,0.3016,0.1470,0.1546
135,0.2533,0.2639,0.0502,0.0121,33.2,-0.0279,446.8,0.2428,0.6622,0.3023,0.1481,0.1542
136,0.2541,0.2649,0.0503,0.0121,32.9,-0.0282,447.1,0.2438,0.6804,0.3029,0.1491,0.1538
137,0.2550,0.2659,0.0504,0.0122,32.8,-0.0285,447.2,0.2447,0.6846,0.3036,0.1502,0.1534
138,0.2559,0.2669,0.0505,0.0122,32.6,-0.0289,447.4,0.2457,0.7340,0.3042,0.1513,0.1529
139,0.2567,0.2679,0.0507,0.0123,32.5,-0.0292,447.5,0.2466,0.8044,0.3049,0.1524,0.1525
140,0.2575,0.2689,0.0508,0.0123,32.4,-0.0296,447.6,0.2476,0.8520,0.3055,0.1534,0.1521
141,0.2583,0.2699,0.0509,0.0124,32.2,-0.0300,447.8,0.2485,0.8866,0.3061,0.1545,0.1516
142,0.2592,0.2709,0.0510,0.0124,31.9,-0.0303,448.1,0.2493,0.9429,0.3067,0.1555,0.1512
143,0.2600,0.2718,0.0512,0.0125,31.8,-0.0305,448.2,0.2503,0.9817,0.3073,0.1565,0.1508
144,0.2608,0.2728,0.0513,0.0125,31.7,-0.0307,448.3,0.2512,0.9827,0.3079,0.1576,0.1503
145,0.2616,0.2737,0.0514,0.0126,31.2,-0.0315,448.8,0.2519,0.9988,0.3085,0.1586,0.1499
146,0.2624,0.2747,0.0515,0.0126,31.1,-0.0318,448.9,0.2528,1.0136,0.3090,0.1596,0.1495
147,0.2631,0.2756,0.0516,0.0127,30.9,-0.0322,449.1,0.2536,1.0341,0.3096,0.1606,0.1490
148,0.2639,0.2766,0.0517,0.0127,30.9,-0.0323,449.1,0.2546,1.0651,0.3102,0.1616,0.1486
149,0.2647,0.2775,0.0519,0.0128,30.9,-0.0326,449.1,0.2555,1.0914,0.3107,0.1626,0.1481
150,0.2654,0.2784,0.0520,0.0128,30.8,-0.0329,449.2,0.2564,1.1065,0.3113,0.1636,0.1477
151,0.2662,0.2793,0.0521,0.0129,30.5,-0.0332,449.5,0.2572,1.1176,0.3118,0.1646,0.1473
152,0.2670,0.2802,0.0522,0.0129,30.0,-0.0337,450.0,0.2578,1.1379,0.3124,0.1655,0.1468
153,0.2677,0.2811,0.0523,0.0130,30.1,-0.0337,449.9,0.2588,1.1391,0.3129,0.1665,0.1464
154,0.2684,0.2820,0.0524,0.0130,29.7,-0.0342,450.3,0.2595,1.1455,0.3134,0.1674,0.1460
155,0.2692,0.2829,0.0525,0.0130,29.7,-0.0344,450.3,0.2604,1.1609,0.3139,0.1684,0.1455
156,0.2699,0.2838,0.0526,0.0131,29.3,-0.0350,450.7,0.2611,1.1615,0.3144,0.1693,0.1451
157,0.2706,0.2847,0.0527,0.0131,29.2,-0.0353,450.8,0.2619,1.1827,0.3149,0.1703,0.1447
158,0.2713,0.2855,0.0528,0.0132,29.2,-0.0354,450.8,0.2628,1.2188,0.3154,0.1712,0.1442
159,0.2720,0.2864,0.0529,0.0132,28.9,-0.0357,451.1,0.2635,1.2248,0.3159,0.1721,0.1438
160,0.2727,0.2872,0.0530,0.0133,28.5,-0.0363,451.5,0.2641,1.2742,0.3164,0.1731,0.1433
161,0.2734,0.2881,0.0531,0.0133,28.5,-0.0365,451.5,0.2650,1.3079,0.3169,0.1740,0.1429
162,0.2741,0.2889,0.0532,0.0134,28.4,-0.0368,451.6,0.2658,1.3300,0.3174,0.1749,0.1425
163,0.2748,0.2897,0.0533,0.0134,28.2,-0.0371,451.8,0.2665,1.3412,0.3178,0.1758,0.1421
164,0.2755,0.2906,0.0534,0.0135,28.0,-0.0374,452.0,0.2672,1.3443,0.3183,0.1767,0.1416
165,0.2761,0.2914,0.0535,0.0135,27.8,-0.0377,452.2,0.2679,1.4092,0.3188,0.1776,0.1412
166,0.2768,0.2922,0.0536,0.0135,27.7,-0.0381,452.3,0.2687,1.4321,0.3192,0.1784,0.1408
167,0.2775,0.2930,0.0537,0.0136,27.7,-0.0384,452.3,0.2695,1.4765,0.3197,0.1793,0.1403
168,0.2781,0.2938,0.0538,0.0136,27.4,-0.0388,452.6,0.2701,1.4833,0.3201,0.1802,0.1399
169,0.2788,0.2946,0.0539,0.0137,27.2,-0.0392,452.8,0.2708,1.4833,0.3205,0.1810,0.1395
170,0.2794,0.2953,0.0540,0.0137,27.0,-0.0397,453.0,0.2715,1.4843,0.3210,0.1819,0.1391
171,0.2800,0.2961,0.0541,0.0137,27.0,-0.0400,453.0,0.2722,1.4863,0.3214,0.1827,0.1387
172,0.2807,0.2969,0.0542,0.0138,27.0,-0.0402,453.0,0.2730,1.5227,0.3218,0.1836,0.1382
173,0.2813,0.2976,0.0543,0.0138,26.8,-0.0406,453.2,0.2737,1.5465,0.3223,0.1844,0.1378
174,0.2819,0.2984,0.0544,0.0139,26.7,-0.0409,453.3,0.2744,1.5611,0.3227,0.1853,0.1374
175,0.2825,0.2991,0.0545,0.0139,26.4,-0.0413,453.6,0.2749,1.5844,0.3231,0.1861,0.1370
176,0.2831,0.2999,0.0546,0.0140,26.3,-0.0415,453.7,0.2756,1.5845,0.3235,0.1869,0.1366
177,0.2837,0.3006,0.0547,0.0140,26.0,-0.0418,454.0,0.2762,1.5874,0.3239,0.1877,0.1362
178,0.2843,0.3013,0.0548,0.0140,26.0,-0.0420,454.0,0.2769,1.5893,0.3243,0.1885,0.1358
179,0.2849,0.3020,0.0549,0.0141,25.9,-0.0423,454.1,0.2775,1.5914,0.3247,0.1893,0.1354
180,0.2855,0.3027,0.0549,0.0141,25.8,-0.0425,454.2,0.2782,1.5914,0.3251,0.1901,0.1350
181,0.2861,0.3034,0.0550,0.0141,25.8,-0.0427,454.2,0.2789,1.6101,0.3255,0.1909,0.1346
182,0.2867,0.3041,0.0551,0.0142,25.8,-0.0428,454.2,0.2796,1.6420,0.3258,0.1916,0.1342
183,0.2872,0.3048,0.0552,0.0142,25.8,-0.0429,454.2,0.2803,1.6484,0.3262,0.1924,0.1338
184,0.2878,0.3055,0.0553,0.0143,25.7,-0.0431,454.3,0.2809,1.6564,0.3266,0.1932,0.1334
185,0.2884,0.3061,0.0554,0.0143,25.7,-0.0433,454.3,0.2816,1.6638,0.3270,0.1939,0.1330
186,0.2889,0.3068,0.0554,0.0143,25.6,-0.0435,454.4,0.2822,1.6707,0.3273,0.1947,0.1327
187,0.2895,0.3074,0.0555,0.0144,25.5,-0.0437,454.5,0.2828,1.6711,0.3277,0.1954,0.1323
188,0.2900,0.3081,0.0556,0.0144,25.5,-0.0439,454.5,0.2834,1.6722,0.3280,0.1961,0.1319
189,0.2905,0.3087,0.0557,0.0144,25.4,-0.0442,454.6,0.2840,1.6865,0.3284,0.1969,0.1315
190,0.2911,0.3094,0.0558,0.0145,25.2,-0.0446,454.8,0.2845,1.6878,0.3287,0.1976,0.1312
191,0.2916,0.3100,0.0558,0.0145,25.0,-0.0450,455.0,0.2850,1.7053,0.3291,0.1983,0.1308
192,0.2921,0.3106,0.0559,0.0145,25.0,-0.0451,455.0,0.2857,1.7074,0.3294,0.1990,0.1304
193,0.2926,0.3112,0.0560,0.0146,24.7,-0.0456,455.3,0.2861,1.7312,0.3298,0.1997,0.1301
194,0.2931,0.3118,0.0560,0.0146,24.5,-0.0458,455.5,0.2866,1.7581,0.3301,0.2004,0.1297
195,0.2936,0.3124,0.0561,0.0146,24.5,-0.0460,455.5,0.2872,1.7711,0.3304,0.2011,0.1294
196,0.2941,0.3130,0.0562,0.0147,24.5,-0.0462,455.5,0.2878,1.7722,0.3308,0.2017,0.1290
197,0.2946,0.3136,0.0563,0.0147,24.4,-0.0463,455.6,0.2883,1.7755,0.3311,0.2024,0.1287
198,0.2951,0.3142,0.0563,0.0147,24.4,-0.0465,455.6,0.2889,1.8021,0.3314,0.2031,0.1283
199,0.2956,0.3147,0.0564,0.0147,24.4,-0.0467,455.6,0.2895,1.8420,0.3317,0.2037,0.1280
200,0.2961,0.3153,0.0564,0.0148,24.4,-0.0468,455.6,0.2901,1.8420,0.3320,0.2044,0.1277
201,0.2966,0.3158,0.0565,0.0148,24.4,-0.0470,455.6,0.2906,1.8420,0.3323,0.2050,0.1273
202,0.2970,0.3164,0.0566,0.0148,24.3,-0.0471,455.7,0.2911,1.8477,0.3327,0.2057,0.1270
203,0.2975,0.3169,0.0566,0.0149,24.3,-0.0473,455.7,0.2916,1.8488,0.3330,0.2063,0.1267
204,0.2980,0.3175,0.0567,0.0149,24.3,-0.0475,455.7,0.2922,1.8512,0.3333,0.2069,0.1264
205,0.2984,0.3180,0.0568,0.0149,24.1,-0.0478,455.9,0.2926,1.8515,0.3336,0.2075,0.1260
206,0.2989,0.3185,0.0568,0.0149,24.1,-0.0479,455.9,0.2931,1.8586,0.3338,0.2081,0.1257
207,0.2993,0.3190,0.0569,0.0150,24.0,-0.0481,456.0,0.2936,1.8598,0.3341,0.2087,0.1254
208,0.2997,0.3195,0.0569,0.0150,24.0,-0.0483,456.0,0.2941,1.8610,0.3344,0.2093,0.1251
209,0.3002,0.3200,0.0570,0.0150,24.0,-0.0485,456.0,0.2946,1.8611,0.3347,0.2099,0.1248
210,0.3006,0.3205,0.0570,0.0151,23.7,-0.0488,456.3,0.2950,1.8611,0.3350,0.2105,0.1245
211,0.3010,0.3210,0.0571,0.0151,23.7,-0.0489,456.3,0.2955,1.8611,0.3353,0.2111,0.1242
212,0.3014,0.3215,0.0571,0.0151,23.7,-0.0491,456.3,0.2960,1.8626,0.3355,0.2116,0.1239
213,0.3019,0.3220,0.0572,0.0151,23.5,-0.0494,456.5,0.2963,1.8627,0.3358,0.2122,0.1236
214,0.3023,0.3225,0.0572,0.0152,23.3,-0.0498,456.7,0.2967,1.8627,0.3361,0.2128,0.1233
215,0.3027,0.3229,0.0573,0.0152,23.3,-0.0499,456.7,0.2971,1.8628,0.3364,0.2133,0.1230
216,0.3031,0.3234,0.0573,0.0152,23.4,-0.0499,456.6,0.2977,1.8628,0.3366,0.2139,0.1227
217,0.3035,0.3238,0.0574,0.0152,23.4,-0.0501,456.6,0.2981,1.8643,0.3369,0.2144,0.1225
218,0.3039,0.3243,0.0574,0.0152,23.5,-0.0500,456.5,0.2987,1.8731,0.3371,0.2149,0.1222
219,0.3042,0.3247,0.0574,0.0153,23.5,-0.0502,456.5,0.2991,1.8904,0.3374,0.2155,0.1219
220,0.3046,0.3252,0.0575,0.0153,23.5,-0.0503,456.5,0.2996,1.8905,0.3376,0.2160,0.1217
221,0.3050,0.3256,0.0575,0.0153,23.5,-0.0505,456.5,0.3000,1.9211,0.3379,0.2165,0.1214
222,0.3054,0.3260,0.0576,0.0153,23.5,-0.0504,456.5,0.3005,1.9212,0.3381,0.2170,0.1211
