step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_9,community_10,community_12,community_13,community_14,community_15,community_16,community_17,community_19,community_23,community_31,community_34,community_35,community_39,community_41,community_45,community_48,community_49,community_51,community_52,community_53,community_60,community_61,community_66,community_76,community_81,community_82
37,0.0048,0.0032,0.0003,0.0029,0.0052,0.0110,0.0001,0.0199,0.0018,0.0116,0.0032,0.0172,0.0111,0.0002,0.0002,0.0127,0.0024,0.0023,0.0020,0.0152,0.0219,0.0140,0.0089,0.0008,0.0029,0.0036,0.0001,0.0057,0.0025,0.0000,0.0035,0.0059,0.0024,0.0145,0.0044
38,0.0048,0.0032,0.0003,0.0029,0.0053,0.0110,0.0001,0.0204,0.0018,0.0118,0.0033,0.0172,0.0113,0.0002,0.0002,0.0128,0.0025,0.0024,0.0020,0.0154,0.0223,0.0142,0.0091,0.0008,0.0030,0.0037,0.0001,0.0057,0.0026,0.0000,0.0035,0.0060,0.0025,0.0146,0.0044
39,0.0049,0.0033,0.0003,0.0030,0.0054,0.0109,0.0001,0.0209,0.0019,0.0119,0.0035,0.0171,0.0115,0.0002,0.0002,0.0130,0.0025,0.0025,0.0020,0.0156,0.0227,0.0144,0.0093,0.0008,0.0030,0.0037,0.0001,0.0058,0.0026,0.0000,0.0036,0.0061,0.0025,0.0146,0.0045
40,0.0049,0.0034,0.0003,0.0030,0.0054,0.0109,0.0001,0.0214,0.0019,0.0121,0.0036,0.0171,0.0116,0.0002,0.0002,0.0132,0.0025,0.0025,0.0021,0.0157,0.0230,0.0147,0.0094,0.0009,0.0031,0.0038,0.0000,0.0058,0.0027,0.0000,0.0037,0.0062,0.0026,0.0147,0.0046
41,0.0050,0.0034,0.0003,0.0031,0.0055,0.0109,0.0001,0.0219,0.0019,0.0122,0.0038,0.0170,0.0118,0.0001,0.0002,0.0133,0.0025,0.0026,0.0021,0.0159,0.0234,0.0149,0.0096,0.0009,0.0031,0.0038,0.0000,0.0059,0.0027,0.0000,0.0037,0.0064,0.0026,0.0147,0.0046
42,0.0050,0.0035,0.0003,0.0031,0.0056,0.0108,0.0001,0.0224,0.0019,0.0123,0.0040,0.0169,0.0120,0.0001,0.0002,0.0134,0.0026,0.0026,0.0021,0.0161,0.0237,0.0151,0.0097,0.0009,0.0031,0.0039,0.0000,0.0059,0.0028,0.0000,0.0038,0.0065,0.0027,0.0147,0.0047
43,0.0051,0.0035,0.0003,0.0032,0.0056,0.0108,0.0001,0.0229,0.0020,0.0124,0.0041,0.0168,0.0122,0.0001,0.0002,0.0136,0.0026,0.0027,0.0022,0.0162,0.0240,0.0153,0.0099,0.0009,0.0032,0.0039,0.0000,0.0060,0.0028,0.0000,0.0038,0.0066,0.0027,0.0148,0.0048
44,0.0052,0.0036,0.0003,0.0032,0.0057,0.0108,0.0001,0.0234,0.0020,0.0125,0.0043,0.0167,0.0123,0.0001,0.0003,0.0137,0.0026,0.0027,0.0022,0.0163,0.0243,0.0155,0.0100,0.0009,0.0032,0.0040,0.0000,0.0060,0.0029,0.0000,0.0039,0.0067,0.0027,0.0148,0.0048
45,0.0052,0.0036,0.0003,0.0032,0.0058,0.0107,0.0001,0.0239,0.0020,0.0126,0.0045,0.0166,0.0125,0.0001,0.0003,0.0138,0.0026,0.0028,0.0022,0.0164,0.0246,0.0157,0.0101,0.0010,0.0032,0.0040,0.0000,0.0061,0.0029,0.0000,0.0040,0.0068,0.0028,0.0148,0.0049
46,0.0053,0.0037,0.0003,0.0033,0.0058,0.0107,0.0001,0.0244,0.0020,0.0127,0.0047,0.0165,0.0127,0.0001,0.0003,0.0139,0.0027,0.0028,0.0022,0.0166,0.0249,0.0159,0.0103,0.0010,0.0033,0.0040,0.0000,0.0061,0.0029,0.0000,0.0040,0.0069,0.0028,0.0148,0.0049
47,0.0053,0.0037,0.0003,0.0033,0.0059,0.0107,0.0001,0.0248,0.0021,0.0128,0.0049,0.0164,0.0128,0.0001,0.0003,0.0140,0.0027,0.0029,0.0023,0.0167,0.0251,0.0161,0.0104,0.0010,0.0033,0.0041,0.0000,0.0061,0.0030,0.0000,0.0041,0.0070,0.0029,0.0148,0.0050
48,0.0054,0.0037,0.0003,0.0034,0.0059,0.0106,0.0001,0.0252,0.0021,0.0129,0.0051,0.0162,0.0130,0.0001,0.0003,0.0141,0.0027,0.0029,0.0023,0.0168,0.0254,0.0163,0.0105,0.0010,0.0033,0.0041,0.0000,0.0062,0.0030,0.0000,0.0041,0.0071,0.0029,0.0148,0.0051
49,0.0054,0.0038,0.0003,0.0034,0.0060,0.0106,0.0001,0.0257,0.0021,0.0130,0.0054,0.0161,0.0131,0.0001,0.0003,0.0142,0.0027,0.0030,0.0023,0.0169,0.0256,0.0164,0.0106,0.0010,0.0033,0.0041,0.0000,0.0062,0.0031,0.0000,0.0042,0.0073,0.0029,0.0147,0.0051
50,0.0055,0.0038,0.0003,0.0034,0.0060,0.0106,0.0001,0.0261,0.0021,0.0130,0.0056,0.0160,0.0133,0.0001,0.0004,0.0143,0.0027,0.0030,0.0023,0.0169,0.0259,0.0166,0.0107,0.0011,0.0034,0.0042,0.0000,0.0062,0.0031,0.0000,0.0042,0.0074,0.0030,0.0147,0.0052
51,0.0055,0.0039,0.0003,0.0035,0.0061,0.0105,0.0001,0.0265,0.0022,0.0131,0.0058,0.0158,0.0134,0.0001,0.0004,0.0144,0.0028,0.0030,0.0024,0.0170,0.0261,0.0168,0.0108,0.0011,0.0034,0.0042,0.0000,0.0062,0.0031,0.0000,0.0043,0.0075,0.0030,0.0147,0.0052
52,0.0056,0.0039,0.0003,0.0035,0.0061,0.0105,0.0001,0.0269,0.0022,0.0132,0.0061,0.0157,0.0135,0.0001,0.0004,0.0145,0.0028,0.0031,0.0024,0.0171,0.0263,0.0170,0.0109,0.0011,0.0034,0.0042,0.0000,0.0063,0.0032,0.0000,0.0043,0.0076,0.0031,0.0146,0.0053
53,0.0056,0.0039,0.0003,0.0035,0.0061,0.0105,0.0001,0.0273,0.0022,0.0132,0.0063,0.0156,0.0137,0.0001,0.0004,0.0146,0.0028,0.0031,0.0024,0.0172,0.0265,0.0171,0.0110,0.0011,0.0034,0.0042,0.0000,0.0063,0.0032,0.0000,0.0044,0.0077,0.0031,0.0146,0.0053
54,0.0057,0.0040,0.0004,0.0036,0.0062,0.0105,0.0001,0.0277,0.0022,0.0133,0.0066,0.0154,0.0138,0.0001,0.0004,0.0147,0.0028,0.0032,0.0024,0.0172,0.0267,0.0173,0.0111,0.0012,0.0034,0.0043,0.0000,0.0063,0.0032,0.0000,0.0044,0.0078,0.0031,0.0146,0.0054
55,0.0057,0.0040,0.0004,0.0036,0.0062,0.0104,0.0001,0.0281,0.0022,0.0133,0.0069,0.0153,0.0139,0.0001,0.0004,0.0147,0.0028,0.0032,0.0025,0.0173,0.0269,0.0174,0.0112,0.0012,0.0034,0.0043,0.0000,0.0063,0.0033,0.0000,0.0045,0.0079,0.0032,0.0145,0.0054
56,0.0057,0.0040,0.0004,0.0036,0.0063,0.0104,0.0002,0.0285,0.0022,0.0133,0.0071,0.0152,0.0141,0.0001,0.0005,0.0148,0.0028,0.0033,0.0025,0.0173,0.0270,0.0176,0.0113,0.0012,0.0035,0.0043,0.0000,0.0063,0.0033,0.0000,0.0045,0.0080,0.0032,0.0145,0.0055
57,0.0058,0.0040,0.0004,0.0037,0.0063,0.0104,0.0002,0.0288,0.0023,0.0134,0.0074,0.0150,0.0142,0.0001,0.0005,0.0149,0.0029,0.0033,0.0025,0.0174,0.0272,0.0177,0.0114,0.0012,0.0035,0.0043,0.0000,0.0064,0.0033,0.0000,0.0046,0.0081,0.0032,0.0144,0.0055
58,0.0058,0.0041,0.0004,0.0037,0.0063,0.0104,0.0002,0.0292,0.0023,0.0134,0.0077,0.0149,0.0143,0.0001,0.0005,0.0150,0.0029,0.0033,0.0025,0.0174,0.0274,0.0179,0.0114,0.0012,0.0035,0.0044,0.0000,0.0064,0.0033,0.0000,0.0046,0.0082,0.0033,0.0144,0.0055
59,0.0059,0.0041,0.0004,0.0037,0.0063,0.0103,0.0002,0.0295,0.0023,0.0134,0.0080,0.0148,0.0144,0.0001,0.0005,0.0150,0.0029,0.0034,0.0025,0.0175,0.0275,0.0180,0.0115,0.0013,0.0035,0.0044,0.0000,0.0064,0.0034,0.0000,0.0047,0.0083,0.0033,0.0143,0.0056
60,0.0059,0.0041,0.0005,0.0038,0.0064,0.0103,0.0002,0.0299,0.0023,0.0134,0.0084,0.0146,0.0145,0.0001,0.0005,0.0151,0.0029,0.0034,0.0025,0.0175,0.0277,0.0182,0.0116,0.0013,0.0035,0.0044,0.0000,0.0064,0.0034,0.0000,0.0047,0.0084,0.0033,0.0143,0.0056
61,0.0060,0.0041,0.0005,0.0038,0.0064,0.0103,0.0002,0.0302,0.0023,0.0134,0.0087,0.0145,0.0146,0.0001,0.0006,0.0151,0.0029,0.0035,0.0026,0.0175,0.0278,0.0183,0.0116,0.0013,0.0035,0.0044,0.0000,0.0064,0.0034,0.0000,0.0048,0.0085,0.0033,0.0142,0.0057
62,0.0060,0.0041,0.0005,0.0038,0.0064,0.0103,0.0002,0.0305,0.0024,0.0135,0.0090,0.0144,0.0147,0.0001,0.0006,0.0152,0.0029,0.0035,0.0026,0.0176,0.0279,0.0184,0.0117,0.0013,0.0035,0.0044,0.0000,0.0064,0.0034,0.0000,0.0048,0.0086,0.0034,0.0142,0.0057
63,0.0061,0.0042,0.0005,0.0038,0.0065,0.0103,0.0002,0.0309,0.0024,0.0135,0.0094,0.0142,0.0148,0.0001,0.0006,0.0152,0.0029,0.0035,0.0026,0.0176,0.0280,0.0186,0.0118,0.0014,0.0035,0.0044,0.0000,0.0064,0.0035,0.0000,0.0049,0.0088,0.0034,0.0141,0.0057
64,0.0061,0.0042,0.0005,0.0039,0.0065,0.0102,0.0002,0.0312,0.0024,0.0135,0.0097,0.0141,0.0149,0.0001,0.0006,0.0153,0.0030,0.0036,0.0026,0.0176,0.0282,0.0187,0.0118,0.0014,0.0035,0.0044,0.0000,0.0064,0.0035,0.0000,0.0049,0.0089,0.0034,0.0141,0.0058
65,0.0061,0.0042,0.0006,0.0039,0.0065,0.0102,0.0002,0.0315,0.0024,0.0135,0.0101,0.0140,0.0150,0.0001,0.0006,0.0153,0.0030,0.0036,0.0026,0.0176,0.0283,0.0188,0.0119,0.0014,0.0035,0.0045,0.0000,0.0064,0.0035,0.0000,0.0049,0.0090,0.0034,0.0140,0.0058
66,0.0062,0.0042,0.0006,0.0039,0.0065,0.0102,0.0002,0.0318,0.0024,0.0135,0.0104,0.0139,0.0151,0.0001,0.0006,0.0154,0.0030,0.0036,0.0026,0.0176,0.0284,0.0190,0.0119,0.0014,0.0035,0.0045,0.0000,0.0064,0.0035,0.0000,0.0050,0.0091,0.0035,0.0140,0.0059
67,0.0062,0.0042,0.0006,0.0039,0.0065,0.0102,0.0002,0.0321,0.0024,0.0135,0.0108,0.0138,0.0152,0.0000,0.0007,0.0154,0.0030,0.0037,0.0027,0.0177,0.0285,0.0191,0.0120,0.0015,0.0035,0.0045,0.0000,0.0064,0.0035,0.0000,0.0050,0.0092,0.0035,0.0139,0.0059
