step,with High-Degree Zealots_mean_opinion,with High-Degree Zealots_mean_abs_opinion,with High-Degree Zealots_non_zealot_variance,with High-Degree Zealots_cluster_variance,with High-Degree Zealots_negative_count,with High-Degree Zealots_negative_mean,with High-Degree Zealots_positive_count,with High-Degree Zealots_positive_mean,with High-Degree Zealots_polarization_index,with High-Degree Zealots_identity_1_mean_opinion,with High-Degree Zealots_identity_neg1_mean_opinion,with High-Degree Zealots_identity_opinion_difference
48,0.1591,0.3345,0.1102,0.0411,163.2,-0.2645,316.8,0.3254,24.4222,0.2269,0.0328,0.1940
49,0.1600,0.3365,0.1115,0.0413,163.5,-0.2656,316.5,0.3280,24.5687,0.2285,0.0333,0.1952
50,0.1609,0.3385,0.1126,0.0415,163.7,-0.2667,316.3,0.3304,24.9073,0.2300,0.0337,0.1963
51,0.1618,0.3403,0.1138,0.0417,163.3,-0.2689,316.7,0.3321,24.9488,0.2314,0.0341,0.1973
52,0.1626,0.3421,0.1149,0.0418,163.0,-0.2710,317.0,0.3338,25.0777,0.2328,0.0345,0.1983
53,0.1634,0.3439,0.1159,0.0420,163.0,-0.2721,317.0,0.3358,25.2554,0.2342,0.0349,0.1993
54,0.1642,0.3455,0.1169,0.0422,162.9,-0.2734,317.1,0.3376,25.4302,0.2355,0.0353,0.2002
55,0.1650,0.3471,0.1179,0.0423,162.9,-0.2746,317.1,0.3395,25.6020,0.2367,0.0357,0.2011
56,0.1657,0.3487,0.1189,0.0424,163.1,-0.2756,316.9,0.3415,25.7859,0.2379,0.0361,0.2018
57,0.1664,0.3502,0.1198,0.0426,163.3,-0.2764,316.7,0.3434,25.9223,0.2390,0.0364,0.2026
58,0.1670,0.3517,0.1207,0.0427,163.4,-0.2773,316.6,0.3452,25.9641,0.2401,0.0367,0.2034
59,0.1676,0.3531,0.1216,0.0428,163.3,-0.2787,316.7,0.3466,25.9534,0.2411,0.0370,0.2042
60,0.1682,0.3544,0.1224,0.0429,163.1,-0.2801,316.9,0.3478,26.0438,0.2421,0.0372,0.2049
61,0.1687,0.3557,0.1232,0.0430,163.2,-0.2810,316.8,0.3494,26.2019,0.2431,0.0374,0.2056
62,0.1692,0.3570,0.1240,0.0431,163.0,-0.2823,317.0,0.3505,26.3117,0.2440,0.0377,0.2063
63,0.1697,0.3581,0.1247,0.0432,163.1,-0.2831,316.9,0.3519,26.4667,0.2449,0.0378,0.2070
64,0.1701,0.3593,0.1255,0.0432,163.1,-0.2841,316.9,0.3531,26.5924,0.2457,0.0380,0.2077
65,0.1705,0.3604,0.1262,0.0433,163.1,-0.2850,316.9,0.3543,26.7041,0.2465,0.0381,0.2084
66,0.1709,0.3615,0.1269,0.0434,163.3,-0.2857,316.7,0.3556,26.7827,0.2472,0.0381,0.2091
67,0.1712,0.3626,0.1276,0.0434,163.2,-0.2867,316.8,0.3566,26.9310,0.2479,0.0382,0.2097
68,0.1716,0.3636,0.1282,0.0435,163.3,-0.2875,316.7,0.3577,27.0791,0.2486,0.0383,0.2103
69,0.1719,0.3645,0.1288,0.0436,163.3,-0.2884,316.7,0.3588,27.1809,0.2492,0.0384,0.2109
70,0.1722,0.3655,0.1294,0.0436,163.3,-0.2892,316.7,0.3597,27.1714,0.2498,0.0384,0.2114
71,0.1725,0.3664,0.1300,0.0437,163.4,-0.2898,316.6,0.3608,27.3083,0.2504,0.0385,0.2120
72,0.1728,0.3673,0.1306,0.0437,163.2,-0.2911,316.8,0.3614,27.3436,0.2510,0.0385,0.2125
73,0.1730,0.3681,0.1312,0.0438,163.2,-0.2920,316.8,0.3623,27.4764,0.2516,0.0385,0.2131
74,0.1733,0.3689,0.1317,0.0438,162.9,-0.2935,317.1,0.3628,27.6466,0.2521,0.0385,0.2136
75,0.1735,0.3697,0.1322,0.0438,162.8,-0.2945,317.2,0.3635,27.7362,0.2526,0.0386,0.2140
76,0.1738,0.3705,0.1327,0.0439,163.0,-0.2948,317.0,0.3646,27.7487,0.2531,0.0387,0.2144
77,0.1740,0.3713,0.1332,0.0439,163.0,-0.2959,317.0,0.3654,27.7314,0.2535,0.0387,0.2148
78,0.1742,0.3721,0.1337,0.0439,162.8,-0.2971,317.2,0.3659,27.7823,0.2539,0.0388,0.2152
79,0.1744,0.3728,0.1341,0.0439,162.7,-0.2982,317.3,0.3666,27.8865,0.2544,0.0388,0.2156
80,0.1747,0.3735,0.1346,0.0439,162.6,-0.2990,317.4,0.3672,27.9083,0.2548,0.0389,0.2159
81,0.1749,0.3742,0.1350,0.0440,162.3,-0.3002,317.7,0.3675,28.0162,0.2551,0.0389,0.2162
82,0.1751,0.3749,0.1354,0.0440,162.4,-0.3006,317.6,0.3683,28.0652,0.2555,0.0390,0.2165
83,0.1753,0.3755,0.1358,0.0440,162.5,-0.3011,317.5,0.3691,28.1297,0.2559,0.0391,0.2168
84,0.1755,0.3761,0.1362,0.0440,162.2,-0.3022,317.8,0.3693,28.1692,0.2562,0.0392,0.2171
85,0.1757,0.3767,0.1366,0.0440,162.3,-0.3025,317.7,0.3701,28.2416,0.2565,0.0393,0.2173
86,0.1758,0.3773,0.1369,0.0440,162.2,-0.3032,317.8,0.3705,28.2612,0.2568,0.0393,0.2175
87,0.1760,0.3778,0.1373,0.0440,162.1,-0.3039,317.9,0.3709,28.3624,0.2571,0.0394,0.2177
88,0.1762,0.3784,0.1376,0.0440,162.2,-0.3042,317.8,0.3716,28.3936,0.2574,0.0395,0.2179
89,0.1764,0.3789,0.1380,0.0440,162.1,-0.3048,317.9,0.3720,28.4083,0.2577,0.0396,0.2180
90,0.1766,0.3794,0.1383,0.0440,162.0,-0.3054,318.0,0.3724,28.4567,0.2579,0.0398,0.2182
91,0.1767,0.3799,0.1386,0.0440,161.9,-0.3061,318.1,0.3728,28.5194,0.2582,0.0399,0.2183
92,0.1769,0.3804,0.1389,0.0440,161.9,-0.3065,318.1,0.3734,28.5577,0.2584,0.0400,0.2184
93,0.1771,0.3808,0.1392,0.0440,162.0,-0.3067,318.0,0.3739,28.5851,0.2586,0.0401,0.2185
94,0.1772,0.3813,0.1395,0.0440,161.9,-0.3073,318.1,0.3743,28.7146,0.2589,0.0402,0.2186
95,0.1774,0.3817,0.1398,0.0440,161.9,-0.3077,318.1,0.3747,28.8084,0.2591,0.0404,0.2187
96,0.1775,0.3822,0.1401,0.0440,162.1,-0.3077,317.9,0.3754,28.8269,0.2593,0.0405,0.2188
97,0.1777,0.3826,0.1404,0.0440,161.8,-0.3087,318.2,0.3755,28.8168,0.2594,0.0406,0.2189
98,0.1778,0.3830,0.1406,0.0440,161.7,-0.3093,318.3,0.3758,28.8071,0.2596,0.0407,0.2189
99,0.1780,0.3834,0.1409,0.0440,161.7,-0.3097,318.3,0.3762,28.8461,0.2598,0.0409,0.2189
100,0.1782,0.3838,0.1411,0.0440,161.8,-0.3096,318.2,0.3768,28.8720,0.2600,0.0411,0.2189
101,0.1783,0.3842,0.1414,0.0440,161.7,-0.3103,318.3,0.3771,28.9102,0.2601,0.0412,0.2189
102,0.1785,0.3845,0.1416,0.0440,161.7,-0.3106,318.3,0.3775,28.9879,0.2603,0.0414,0.2190
103,0.1786,0.3849,0.1418,0.0440,161.8,-0.3105,318.2,0.3780,29.0271,0.2605,0.0416,0.2189
104,0.1788,0.3853,0.1421,0.0439,161.6,-0.3112,318.4,0.3782,29.0312,0.2606,0.0418,0.2188
105,0.1790,0.3856,0.1423,0.0439,161.8,-0.3111,318.2,0.3789,29.0690,0.2607,0.0421,0.2187
106,0.1791,0.3860,0.1425,0.0439,161.9,-0.3111,318.1,0.3794,29.1341,0.2609,0.0422,0.2186
107,0.1792,0.3864,0.1428,0.0439,161.8,-0.3117,318.2,0.3797,29.1727,0.2610,0.0424,0.2186
108,0.1794,0.3868,0.1430,0.0438,161.9,-0.3120,318.1,0.3803,29.2274,0.2612,0.0425,0.2186
109,0.1795,0.3872,0.1433,0.0438,162.0,-0.3122,318.0,0.3808,29.3131,0.2613,0.0427,0.2186
110,0.1796,0.3876,0.1435,0.0438,161.8,-0.3132,318.2,0.3809,29.3304,0.2614,0.0428,0.2186
111,0.1797,0.3880,0.1437,0.0438,161.9,-0.3134,318.1,0.3814,29.3825,0.2615,0.0429,0.2186
112,0.1797,0.3883,0.1440,0.0438,161.9,-0.3138,318.1,0.3817,29.4781,0.2616,0.0430,0.2186
113,0.1798,0.3887,0.1442,0.0438,162.1,-0.3139,317.9,0.3823,29.4954,0.2617,0.0430,0.2187
114,0.1799,0.3890,0.1444,0.0438,161.9,-0.3147,318.1,0.3824,29.5170,0.2618,0.0431,0.2187
115,0.1799,0.3893,0.1446,0.0437,161.8,-0.3152,318.2,0.3825,29.6058,0.2619,0.0432,0.2187
116,0.1800,0.3896,0.1449,0.0437,161.7,-0.3158,318.3,0.3827,29.6452,0.2620,0.0432,0.2187
117,0.1801,0.3899,0.1451,0.0437,161.6,-0.3163,318.4,0.3829,29.7087,0.2621,0.0433,0.2188
118,0.1801,0.3902,0.1453,0.0437,161.5,-0.3166,318.5,0.3830,29.7308,0.2622,0.0434,0.2188
119,0.1802,0.3905,0.1455,0.0437,161.6,-0.3168,318.4,0.3835,29.7745,0.2623,0.0436,0.2187
120,0.1803,0.3908,0.1457,0.0437,161.6,-0.3171,318.4,0.3838,29.8407,0.2623,0.0437,0.2186
121,0.1804,0.3911,0.1459,0.0437,161.7,-0.3172,318.3,0.3842,29.9224,0.2624,0.0438,0.2186
122,0.1805,0.3914,0.1461,0.0436,161.8,-0.3173,318.2,0.3847,29.9508,0.2625,0.0440,0.2185
123,0.1806,0.3917,0.1462,0.0436,161.8,-0.3176,318.2,0.3850,29.9861,0.2626,0.0441,0.2185
124,0.1807,0.3920,0.1464,0.0436,161.8,-0.3179,318.2,0.3852,30.0087,0.2626,0.0442,0.2185
125,0.1807,0.3922,0.1466,0.0436,161.8,-0.3182,318.2,0.3855,30.0561,0.2627,0.0443,0.2184
126,0.1808,0.3925,0.1468,0.0436,161.8,-0.3185,318.2,0.3858,30.0437,0.2628,0.0444,0.2184
127,0.1809,0.3927,0.1469,0.0436,161.8,-0.3188,318.2,0.3860,30.1027,0.2628,0.0445,0.2184
128,0.1810,0.3930,0.1471,0.0436,161.7,-0.3190,318.3,0.3862,30.1339,0.2629,0.0446,0.2184
129,0.1810,0.3933,0.1473,0.0435,161.8,-0.3191,318.2,0.3866,30.1762,0.2630,0.0446,0.2184
130,0.1811,0.3935,0.1474,0.0435,161.8,-0.3194,318.2,0.3869,30.1911,0.2632,0.0447,0.2184
131,0.1812,0.3938,0.1476,0.0435,161.9,-0.3195,318.1,0.3873,30.1977,0.2633,0.0448,0.2185
132,0.1813,0.3940,0.1477,0.0435,161.8,-0.3199,318.2,0.3874,30.2134,0.2634,0.0449,0.2185
133,0.1814,0.3942,0.1479,0.0435,161.8,-0.3201,318.2,0.3877,30.1887,0.2635,0.0449,0.2185
134,0.1814,0.3944,0.1480,0.0435,161.8,-0.3203,318.2,0.3879,30.2093,0.2636,0.0450,0.2186
135,0.1815,0.3946,0.1482,0.0435,161.7,-0.3207,318.3,0.3880,30.2893,0.2637,0.0451,0.2186
136,0.1816,0.3948,0.1483,0.0435,161.7,-0.3209,318.3,0.3882,30.3467,0.2638,0.0451,0.2186
137,0.1817,0.3950,0.1484,0.0435,161.7,-0.3211,318.3,0.3884,30.3884,0.2638,0.0452,0.2186
138,0.1817,0.3952,0.1486,0.0435,161.8,-0.3211,318.2,0.3888,30.3719,0.2639,0.0453,0.2187
139,0.1818,0.3954,0.1487,0.0434,161.8,-0.3212,318.2,0.3890,30.3719,0.2640,0.0453,0.2187
140,0.1819,0.3955,0.1488,0.0434,161.8,-0.3214,318.2,0.3892,30.3787,0.2641,0.0454,0.2187
141,0.1819,0.3957,0.1489,0.0434,161.8,-0.3215,318.2,0.3893,30.3787,0.2642,0.0455,0.2187
142,0.1820,0.3959,0.1490,0.0434,161.8,-0.3217,318.2,0.3895,30.4178,0.2642,0.0455,0.2187
143,0.1821,0.3960,0.1491,0.0434,161.8,-0.3218,318.2,0.3897,30.4414,0.2643,0.0456,0.2188
144,0.1821,0.3962,0.1492,0.0434,161.7,-0.3222,318.3,0.3898,30.4597,0.2644,0.0456,0.2188
145,0.1822,0.3963,0.1493,0.0434,161.7,-0.3224,318.3,0.3899,30.4597,0.2645,0.0457,0.2188
146,0.1823,0.3965,0.1494,0.0434,161.7,-0.3225,318.3,0.3901,30.4822,0.2646,0.0457,0.2188
147,0.1823,0.3966,0.1495,0.0434,161.7,-0.3226,318.3,0.3903,30.5428,0.2646,0.0458,0.2189
148,0.1824,0.3968,0.1496,0.0434,161.7,-0.3227,318.3,0.3904,30.5815,0.2647,0.0458,0.2189
149,0.1824,0.3969,0.1497,0.0434,161.7,-0.3228,318.3,0.3906,30.5734,0.2648,0.0459,0.2189
150,0.1825,0.3970,0.1498,0.0434,161.7,-0.3229,318.3,0.3907,30.5570,0.2648,0.0459,0.2189
151,0.1825,0.3971,0.1499,0.0434,161.7,-0.3231,318.3,0.3908,30.5892,0.2649,0.0459,0.2190
152,0.1826,0.3972,0.1500,0.0434,161.7,-0.3232,318.3,0.3910,30.5737,0.2650,0.0460,0.2190
153,0.1826,0.3973,0.1500,0.0434,161.8,-0.3229,318.2,0.3912,30.5830,0.2650,0.0460,0.2190
154,0.1827,0.3974,0.1501,0.0434,161.8,-0.3229,318.2,0.3913,30.6163,0.2651,0.0461,0.2190
155,0.1827,0.3975,0.1502,0.0434,161.6,-0.3234,318.4,0.3912,30.6268,0.2651,0.0461,0.2190
156,0.1828,0.3977,0.1503,0.0434,161.4,-0.3238,318.6,0.3911,30.6268,0.2652,0.0462,0.2190
157,0.1829,0.3978,0.1503,0.0434,161.3,-0.3240,318.7,0.3912,30.6665,0.2652,0.0463,0.2189
158,0.1830,0.3979,0.1504,0.0434,161.2,-0.3243,318.8,0.3912,30.6685,0.2653,0.0464,0.2189
159,0.1830,0.3980,0.1504,0.0434,161.2,-0.3243,318.8,0.3913,30.6758,0.2653,0.0465,0.2188
160,0.1831,0.3981,0.1505,0.0434,161.0,-0.3247,319.0,0.3913,30.6429,0.2654,0.0466,0.2187
161,0.1832,0.3982,0.1505,0.0434,161.0,-0.3247,319.0,0.3914,30.6509,0.2654,0.0468,0.2186
162,0.1833,0.3983,0.1506,0.0434,161.1,-0.3246,318.9,0.3917,30.6882,0.2655,0.0469,0.2186
163,0.1834,0.3984,0.1506,0.0434,161.0,-0.3248,319.0,0.3917,30.7453,0.2655,0.0470,0.2185
164,0.1834,0.3985,0.1507,0.0434,161.2,-0.3245,318.8,0.3921,30.7860,0.2655,0.0471,0.2184
165,0.1835,0.3986,0.1507,0.0434,161.2,-0.3245,318.8,0.3922,30.8286,0.2656,0.0472,0.2184
166,0.1836,0.3987,0.1508,0.0434,161.2,-0.3245,318.8,0.3923,30.8152,0.2656,0.0473,0.2183
167,0.1836,0.3988,0.1508,0.0434,161.1,-0.3247,318.9,0.3923,30.7998,0.2656,0.0474,0.2182
168,0.1837,0.3989,0.1509,0.0433,161.1,-0.3247,318.9,0.3924,30.7998,0.2657,0.0475,0.2182
169,0.1838,0.3990,0.1509,0.0433,161.1,-0.3248,318.9,0.3925,30.7998,0.2657,0.0476,0.2181
170,0.1839,0.3991,0.1510,0.0433,161.1,-0.3248,318.9,0.3927,30.8046,0.2657,0.0477,0.2180
171,0.1839,0.3992,0.1510,0.0433,161.1,-0.3248,318.9,0.3928,30.8458,0.2658,0.0478,0.2179
172,0.1840,0.3992,0.1511,0.0433,161.1,-0.3248,318.9,0.3929,30.8675,0.2658,0.0479,0.2178
173,0.1841,0.3993,0.1511,0.0433,161.1,-0.3249,318.9,0.3930,30.8483,0.2658,0.0480,0.2178
174,0.1841,0.3994,0.1511,0.0433,161.0,-0.3251,319.0,0.3930,30.8649,0.2658,0.0481,0.2177
175,0.1842,0.3995,0.1512,0.0433,161.0,-0.3251,319.0,0.3931,30.8914,0.2658,0.0482,0.2176
176,0.1842,0.3996,0.1512,0.0433,161.0,-0.3251,319.0,0.3932,30.9237,0.2659,0.0483,0.2175
177,0.1843,0.3996,0.1513,0.0433,160.9,-0.3253,319.1,0.3933,30.9237,0.2659,0.0484,0.2175
178,0.1844,0.3997,0.1513,0.0433,160.8,-0.3255,319.2,0.3932,30.9525,0.2659,0.0485,0.2174
179,0.1844,0.3998,0.1513,0.0433,160.8,-0.3255,319.2,0.3933,30.9559,0.2659,0.0486,0.2173
180,0.1845,0.3999,0.1514,0.0433,160.9,-0.3253,319.1,0.3936,30.9671,0.2659,0.0487,0.2172
181,0.1846,0.3999,0.1514,0.0433,160.9,-0.3254,319.1,0.3937,31.0058,0.2660,0.0488,0.2171
182,0.1846,0.4000,0.1514,0.0433,160.9,-0.3254,319.1,0.3938,31.0090,0.2660,0.0489,0.2171
183,0.1846,0.4001,0.1515,0.0432,160.9,-0.3254,319.1,0.3938,31.0090,0.2660,0.0490,0.2170
184,0.1847,0.4002,0.1515,0.0432,160.8,-0.3256,319.2,0.3938,31.0090,0.2660,0.0490,0.2170
185,0.1847,0.4002,0.1515,0.0432,160.8,-0.3256,319.2,0.3939,31.0126,0.2660,0.0491,0.2169
186,0.1848,0.4003,0.1515,0.0432,160.8,-0.3257,319.2,0.3940,31.0024,0.2660,0.0492,0.2169
187,0.1848,0.4004,0.1516,0.0432,160.8,-0.3257,319.2,0.3941,31.0024,0.2661,0.0492,0.2168
188,0.1849,0.4004,0.1516,0.0432,160.8,-0.3257,319.2,0.3942,31.0264,0.2661,0.0493,0.2168
189,0.1849,0.4005,0.1516,0.0432,160.8,-0.3257,319.2,0.3942,31.0300,0.2661,0.0494,0.2167
190,0.1850,0.4006,0.1517,0.0432,160.7,-0.3259,319.3,0.3942,31.0300,0.2661,0.0494,0.2167
191,0.1850,0.4006,0.1517,0.0432,160.7,-0.3260,319.3,0.3943,31.0538,0.2661,0.0495,0.2166
192,0.1850,0.4007,0.1517,0.0432,160.7,-0.3260,319.3,0.3944,31.0868,0.2661,0.0495,0.2166
193,0.1851,0.4007,0.1518,0.0432,160.6,-0.3262,319.4,0.3943,31.0903,0.2661,0.0496,0.2165
194,0.1851,0.4008,0.1518,0.0432,160.6,-0.3262,319.4,0.3944,31.0903,0.2661,0.0497,0.2164
195,0.1852,0.4009,0.1518,0.0431,160.6,-0.3262,319.4,0.3945,31.0903,0.2661,0.0498,0.2163
196,0.1852,0.4009,0.1518,0.0431,160.6,-0.3263,319.4,0.3945,31.0903,0.2661,0.0499,0.2163
197,0.1853,0.4010,0.1519,0.0431,160.6,-0.3263,319.4,0.3946,31.0903,0.2662,0.0500,0.2162
198,0.1853,0.4011,0.1519,0.0431,160.6,-0.3263,319.4,0.3947,31.0463,0.2662,0.0500,0.2161
199,0.1854,0.4011,0.1519,0.0431,160.6,-0.3263,319.4,0.3948,31.0463,0.2662,0.0501,0.2160
200,0.1854,0.4012,0.1520,0.0431,160.6,-0.3263,319.4,0.3949,31.0721,0.2662,0.0502,0.2160
201,0.1854,0.4012,0.1520,0.0431,160.7,-0.3262,319.3,0.3951,31.0721,0.2662,0.0503,0.2159
202,0.1855,0.4013,0.1520,0.0431,160.7,-0.3262,319.3,0.3951,31.0756,0.2662,0.0503,0.2159
203,0.1855,0.4013,0.1521,0.0431,160.7,-0.3262,319.3,0.3952,31.0644,0.2662,0.0504,0.2158
204,0.1855,0.4013,0.1521,0.0431,160.7,-0.3262,319.3,0.3953,31.0903,0.2662,0.0504,0.2158
205,0.1856,0.4014,0.1521,0.0430,160.7,-0.3263,319.3,0.3953,31.0913,0.2662,0.0505,0.2158
206,0.1856,0.4014,0.1521,0.0430,160.7,-0.3263,319.3,0.3954,31.1195,0.2662,0.0505,0.2157
207,0.1856,0.4015,0.1522,0.0430,160.7,-0.3263,319.3,0.3954,31.1195,0.2662,0.0505,0.2157
208,0.1856,0.4015,0.1522,0.0430,160.7,-0.3263,319.3,0.3955,31.1350,0.2662,0.0506,0.2156
209,0.1857,0.4016,0.1522,0.0430,160.7,-0.3263,319.3,0.3955,31.1497,0.2662,0.0506,0.2156
210,0.1857,0.4016,0.1522,0.0430,160.7,-0.3264,319.3,0.3955,31.1708,0.2662,0.0506,0.2156
211,0.1857,0.4016,0.1523,0.0430,160.7,-0.3264,319.3,0.3956,31.2038,0.2662,0.0507,0.2156
212,0.1857,0.4017,0.1523,0.0430,160.7,-0.3264,319.3,0.3956,31.2065,0.2662,0.0507,0.2155
213,0.1857,0.4017,0.1523,0.0430,160.6,-0.3266,319.4,0.3955,31.2065,0.2662,0.0507,0.2155
214,0.1857,0.4017,0.1523,0.0430,160.6,-0.3266,319.4,0.3955,31.2065,0.2662,0.0508,0.2155
215,0.1858,0.4018,0.1523,0.0430,160.5,-0.3268,319.5,0.3954,31.2154,0.2662,0.0508,0.2154
216,0.1858,0.4018,0.1524,0.0430,160.5,-0.3268,319.5,0.3955,31.2189,0.2662,0.0508,0.2154
217,0.1858,0.4018,0.1524,0.0430,160.5,-0.3268,319.5,0.3955,31.2189,0.2662,0.0509,0.2154
218,0.1858,0.4019,0.1524,0.0430,160.5,-0.3269,319.5,0.3956,31.2344,0.2662,0.0509,0.2153
219,0.1858,0.4019,0.1524,0.0430,160.5,-0.3269,319.5,0.3956,31.2344,0.2662,0.0509,0.2153
220,0.1859,0.4019,0.1524,0.0430,160.5,-0.3269,319.5,0.3957,31.2344,0.2662,0.0510,0.2153
