step,with Clustered Zealots_mean_opinion,with Clustered Zealots_mean_abs_opinion,with Clustered Zealots_non_zealot_variance,with Clustered Zealots_cluster_variance,with Clustered Zealots_negative_count,with Clustered Zealots_negative_mean,with Clustered Zealots_positive_count,with Clustered Zealots_positive_mean,with Clustered Zealots_polarization_index,with Clustered Zealots_identity_1_mean_opinion,with Clustered Zealots_identity_neg1_mean_opinion,with Clustered Zealots_identity_opinion_difference
220,0.2390,0.2619,0.0579,0.0113,45.8,-0.0899,434.2,0.2375,1.7151,0.1964,0.2139,-0.0176
221,0.2394,0.2624,0.0580,0.0113,45.8,-0.0902,434.2,0.2381,1.7470,0.1968,0.2144,-0.0176
222,0.2399,0.2629,0.0581,0.0114,45.8,-0.0904,434.2,0.2386,1.7471,0.1973,0.2149,-0.0176
223,0.2403,0.2634,0.0581,0.0114,45.8,-0.0906,434.2,0.2391,1.7698,0.1977,0.2153,-0.0176
224,0.2407,0.2639,0.0582,0.0114,45.8,-0.0908,434.2,0.2396,1.7789,0.1981,0.2158,-0.0176
225,0.2412,0.2644,0.0583,0.0115,45.8,-0.0910,434.2,0.2402,1.7842,0.1986,0.2162,-0.0176
226,0.2416,0.2649,0.0584,0.0115,45.7,-0.0914,434.3,0.2406,1.8011,0.1990,0.2167,-0.0177
227,0.2420,0.2654,0.0584,0.0115,45.7,-0.0916,434.3,0.2412,1.8205,0.1995,0.2171,-0.0177
228,0.2424,0.2659,0.0585,0.0115,45.7,-0.0918,434.3,0.2417,1.8344,0.1999,0.2175,-0.0177
229,0.2428,0.2664,0.0585,0.0116,45.5,-0.0922,434.5,0.2421,1.8361,0.2003,0.2180,-0.0176
230,0.2433,0.2668,0.0586,0.0116,45.2,-0.0923,434.8,0.2425,1.8364,0.2008,0.2184,-0.0176
231,0.2437,0.2673,0.0587,0.0116,45.2,-0.0925,434.8,0.2430,1.8412,0.2012,0.2188,-0.0176
232,0.2441,0.2678,0.0587,0.0116,45.0,-0.0928,435.0,0.2434,1.8412,0.2016,0.2192,-0.0176
233,0.2445,0.2682,0.0588,0.0117,44.8,-0.0930,435.2,0.2437,1.8455,0.2020,0.2196,-0.0176
234,0.2449,0.2687,0.0589,0.0117,44.8,-0.0932,435.2,0.2442,1.8607,0.2024,0.2200,-0.0176
235,0.2452,0.2692,0.0589,0.0117,44.6,-0.0936,435.4,0.2446,1.8698,0.2029,0.2204,-0.0176
236,0.2456,0.2696,0.0590,0.0117,44.5,-0.0939,435.5,0.2450,1.8970,0.2033,0.2208,-0.0175
237,0.2460,0.2701,0.0590,0.0118,44.2,-0.0942,435.8,0.2454,1.8979,0.2037,0.2212,-0.0175
238,0.2464,0.2705,0.0591,0.0118,44.0,-0.0945,436.0,0.2457,1.9119,0.2041,0.2216,-0.0175
239,0.2468,0.2709,0.0591,0.0118,43.8,-0.0947,436.2,0.2460,1.9147,0.2045,0.2220,-0.0174
240,0.2471,0.2714,0.0592,0.0118,43.7,-0.0949,436.3,0.2464,1.9147,0.2049,0.2223,-0.0174
241,0.2475,0.2718,0.0592,0.0119,43.5,-0.0951,436.5,0.2468,1.9617,0.2053,0.2227,-0.0174
242,0.2479,0.2722,0.0593,0.0119,43.3,-0.0953,436.7,0.2471,1.9649,0.2057,0.2230,-0.0173
243,0.2482,0.2727,0.0593,0.0119,43.3,-0.0955,436.7,0.2475,1.9733,0.2061,0.2234,-0.0173
244,0.2486,0.2731,0.0594,0.0119,43.3,-0.0957,436.7,0.2480,1.9962,0.2065,0.2238,-0.0172
245,0.2489,0.2735,0.0594,0.0119,43.3,-0.0958,436.7,0.2484,2.0009,0.2069,0.2241,-0.0172
246,0.2493,0.2739,0.0595,0.0120,43.1,-0.0961,436.9,0.2487,2.0055,0.2073,0.2244,-0.0171
247,0.2496,0.2743,0.0595,0.0120,43.2,-0.0962,436.8,0.2492,2.0080,0.2077,0.2248,-0.0171
248,0.2500,0.2747,0.0596,0.0120,43.3,-0.0962,436.7,0.2497,2.0090,0.2081,0.2251,-0.0170
249,0.2503,0.2751,0.0596,0.0120,43.2,-0.0966,436.8,0.2500,2.0350,0.2085,0.2254,-0.0170
250,0.2507,0.2755,0.0597,0.0121,43.0,-0.0971,437.0,0.2503,2.0503,0.2088,0.2258,-0.0169
251,0.2510,0.2759,0.0597,0.0121,42.9,-0.0972,437.1,0.2506,2.0618,0.2092,0.2261,-0.0169
252,0.2513,0.2763,0.0597,0.0121,42.8,-0.0976,437.2,0.2510,2.0644,0.2096,0.2264,-0.0168
253,0.2517,0.2767,0.0598,0.0121,42.6,-0.0980,437.4,0.2513,2.0644,0.2100,0.2267,-0.0168
254,0.2520,0.2771,0.0598,0.0121,42.6,-0.0982,437.4,0.2517,2.0742,0.2103,0.2270,-0.0167
255,0.2523,0.2775,0.0599,0.0122,42.4,-0.0984,437.6,0.2520,2.0768,0.2107,0.2273,-0.0166
256,0.2526,0.2778,0.0599,0.0122,42.2,-0.0986,437.8,0.2523,2.0769,0.2111,0.2276,-0.0166
257,0.2529,0.2782,0.0599,0.0122,42.1,-0.0988,437.9,0.2526,2.0808,0.2114,0.2279,-0.0165
258,0.2532,0.2786,0.0600,0.0122,41.9,-0.0992,438.1,0.2529,2.0813,0.2118,0.2282,-0.0164
259,0.2536,0.2789,0.0600,0.0122,41.8,-0.0993,438.2,0.2532,2.0821,0.2122,0.2285,-0.0164
260,0.2539,0.2793,0.0601,0.0123,41.7,-0.0994,438.3,0.2536,2.0880,0.2125,0.2288,-0.0163
261,0.2542,0.2797,0.0601,0.0123,41.6,-0.0996,438.4,0.2539,2.0938,0.2129,0.2291,-0.0162
262,0.2545,0.2800,0.0601,0.0123,41.7,-0.0997,438.3,0.2543,2.0981,0.2132,0.2294,-0.0161
263,0.2548,0.2804,0.0602,0.0123,41.6,-0.1000,438.4,0.2546,2.1256,0.2136,0.2296,-0.0161
264,0.2551,0.2807,0.0602,0.0123,41.5,-0.1002,438.5,0.2549,2.1288,0.2139,0.2299,-0.0160
265,0.2553,0.2811,0.0602,0.0124,41.5,-0.1004,438.5,0.2553,2.1431,0.2143,0.2302,-0.0159
266,0.2556,0.2814,0.0603,0.0124,41.2,-0.1008,438.8,0.2555,2.1555,0.2146,0.2305,-0.0159
267,0.2559,0.2818,0.0603,0.0124,41.1,-0.1010,438.9,0.2558,2.1612,0.2149,0.2307,-0.0158
268,0.2562,0.2821,0.0604,0.0124,41.0,-0.1012,439.0,0.2560,2.1711,0.2153,0.2310,-0.0157
269,0.2565,0.2825,0.0604,0.0124,41.1,-0.1012,438.9,0.2564,2.1742,0.2156,0.2312,-0.0156
270,0.2567,0.2828,0.0604,0.0124,41.1,-0.1014,438.9,0.2568,2.1759,0.2159,0.2315,-0.0155
271,0.2570,0.2831,0.0605,0.0125,41.2,-0.1014,438.8,0.2572,2.2223,0.2163,0.2317,-0.0155
272,0.2573,0.2834,0.0605,0.0125,41.0,-0.1016,439.0,0.2574,2.2254,0.2166,0.2320,-0.0154
273,0.2576,0.2838,0.0605,0.0125,41.0,-0.1018,439.0,0.2577,2.2280,0.2169,0.2322,-0.0153
274,0.2578,0.2841,0.0606,0.0125,41.0,-0.1019,439.0,0.2580,2.2327,0.2172,0.2325,-0.0152
275,0.2581,0.2844,0.0606,0.0125,40.9,-0.1020,439.1,0.2583,2.2327,0.2175,0.2327,-0.0152
276,0.2583,0.2847,0.0606,0.0126,40.9,-0.1022,439.1,0.2586,2.2327,0.2179,0.2329,-0.0151
277,0.2586,0.2850,0.0607,0.0126,40.9,-0.1023,439.1,0.2589,2.2852,0.2182,0.2332,-0.0150
278,0.2589,0.2854,0.0607,0.0126,40.8,-0.1025,439.2,0.2592,2.2909,0.2185,0.2334,-0.0149
279,0.2591,0.2857,0.0607,0.0126,40.7,-0.1027,439.3,0.2595,2.2952,0.2188,0.2336,-0.0148
280,0.2593,0.2860,0.0607,0.0126,40.9,-0.1026,439.1,0.2599,2.2986,0.2191,0.2338,-0.0148
281,0.2596,0.2863,0.0608,0.0126,41.0,-0.1026,439.0,0.2602,2.3080,0.2194,0.2341,-0.0147
282,0.2598,0.2866,0.0608,0.0127,41.1,-0.1027,438.9,0.2606,2.3080,0.2197,0.2343,-0.0146
283,0.2601,0.2869,0.0608,0.0127,41.0,-0.1029,439.0,0.2608,2.3143,0.2200,0.2345,-0.0145
284,0.2603,0.2872,0.0609,0.0127,41.1,-0.1029,438.9,0.2612,2.3169,0.2203,0.2347,-0.0144
285,0.2605,0.2874,0.0609,0.0127,41.2,-0.1029,438.8,0.2615,2.3463,0.2206,0.2349,-0.0144
286,0.2608,0.2877,0.0609,0.0127,41.3,-0.1029,438.7,0.2619,2.3520,0.2208,0.2351,-0.0143
287,0.2610,0.2880,0.0610,0.0127,41.3,-0.1031,438.7,0.2622,2.3755,0.2211,0.2353,-0.0142
288,0.2612,0.2883,0.0610,0.0127,41.0,-0.1034,439.0,0.2623,2.3755,0.2214,0.2355,-0.0141
289,0.2615,0.2886,0.0610,0.0128,40.8,-0.1038,439.2,0.2624,2.3816,0.2217,0.2357,-0.0141
290,0.2617,0.2889,0.0610,0.0128,40.4,-0.1040,439.6,0.2625,2.3874,0.2219,0.2359,-0.0140
291,0.2619,0.2891,0.0611,0.0128,40.4,-0.1042,439.6,0.2628,2.4108,0.2222,0.2361,-0.0139
292,0.2621,0.2894,0.0611,0.0128,40.5,-0.1043,439.5,0.2631,2.4108,0.2225,0.2363,-0.0138
293,0.2623,0.2897,0.0611,0.0128,40.4,-0.1043,439.6,0.2633,2.4125,0.2227,0.2365,-0.0138
294,0.2625,0.2899,0.0611,0.0128,40.4,-0.1045,439.6,0.2636,2.4142,0.2230,0.2367,-0.0137
295,0.2628,0.2902,0.0612,0.0128,40.4,-0.1047,439.6,0.2638,2.4142,0.2233,0.2369,-0.0136
296,0.2630,0.2905,0.0612,0.0129,40.4,-0.1049,439.6,0.2641,2.4318,0.2235,0.2371,-0.0135
297,0.2632,0.2907,0.0612,0.0129,40.4,-0.1050,439.6,0.2643,2.4414,0.2238,0.2372,-0.0135
298,0.2634,0.2910,0.0612,0.0129,40.4,-0.1052,439.6,0.2646,2.4414,0.2240,0.2374,-0.0134
299,0.2636,0.2912,0.0613,0.0129,40.5,-0.1053,439.5,0.2649,2.4419,0.2243,0.2376,-0.0133
