step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_12,community_14,community_16,community_17,community_22,community_23,community_24,community_26,community_33,community_34,community_37,community_41,community_42,community_43,community_45,community_54,community_68
30,0.0113,0.0089,0.0270,0.0130,0.0122,0.0198,0.0015,0.0002,0.0095,0.0003,0.0001,0.0003,0.0024,0.0090,0.0052,0.0038,0.0011,0.0002,0.0005,0.0069,0.0095,0.0042,0.0153,0.0115,0.0013,0.0039,0.0021
31,0.0115,0.0091,0.0274,0.0133,0.0124,0.0200,0.0016,0.0002,0.0098,0.0004,0.0001,0.0003,0.0025,0.0092,0.0052,0.0040,0.0011,0.0002,0.0005,0.0069,0.0096,0.0043,0.0155,0.0118,0.0013,0.0041,0.0021
32,0.0116,0.0092,0.0278,0.0136,0.0127,0.0202,0.0016,0.0002,0.0101,0.0004,0.0001,0.0003,0.0025,0.0094,0.0052,0.0042,0.0011,0.0002,0.0005,0.0070,0.0097,0.0044,0.0157,0.0120,0.0013,0.0044,0.0022
33,0.0118,0.0093,0.0282,0.0140,0.0129,0.0204,0.0016,0.0002,0.0104,0.0004,0.0001,0.0003,0.0026,0.0096,0.0053,0.0045,0.0012,0.0002,0.0005,0.0071,0.0098,0.0044,0.0159,0.0123,0.0013,0.0046,0.0022
34,0.0119,0.0094,0.0285,0.0143,0.0132,0.0206,0.0016,0.0002,0.0107,0.0004,0.0001,0.0004,0.0026,0.0097,0.0053,0.0047,0.0012,0.0002,0.0005,0.0071,0.0099,0.0045,0.0161,0.0125,0.0014,0.0049,0.0022
35,0.0120,0.0095,0.0288,0.0146,0.0134,0.0207,0.0016,0.0002,0.0109,0.0005,0.0001,0.0004,0.0027,0.0099,0.0053,0.0050,0.0012,0.0002,0.0005,0.0071,0.0099,0.0046,0.0163,0.0128,0.0014,0.0051,0.0023
36,0.0122,0.0096,0.0291,0.0149,0.0136,0.0209,0.0016,0.0002,0.0112,0.0005,0.0001,0.0004,0.0027,0.0101,0.0053,0.0053,0.0012,0.0002,0.0005,0.0072,0.0100,0.0046,0.0164,0.0130,0.0014,0.0054,0.0023
37,0.0123,0.0097,0.0293,0.0151,0.0138,0.0210,0.0017,0.0002,0.0114,0.0005,0.0001,0.0004,0.0028,0.0102,0.0053,0.0056,0.0013,0.0001,0.0005,0.0072,0.0101,0.0047,0.0166,0.0132,0.0014,0.0057,0.0023
38,0.0124,0.0098,0.0295,0.0154,0.0140,0.0211,0.0017,0.0002,0.0117,0.0006,0.0001,0.0004,0.0028,0.0104,0.0053,0.0059,0.0013,0.0001,0.0005,0.0072,0.0101,0.0047,0.0167,0.0134,0.0015,0.0060,0.0024
39,0.0125,0.0099,0.0297,0.0156,0.0142,0.0212,0.0017,0.0002,0.0119,0.0006,0.0001,0.0004,0.0029,0.0105,0.0054,0.0063,0.0013,0.0001,0.0005,0.0073,0.0102,0.0048,0.0168,0.0136,0.0015,0.0063,0.0024
40,0.0125,0.0100,0.0299,0.0159,0.0144,0.0213,0.0017,0.0002,0.0121,0.0007,0.0001,0.0004,0.0029,0.0106,0.0054,0.0067,0.0014,0.0001,0.0005,0.0073,0.0102,0.0049,0.0169,0.0138,0.0015,0.0066,0.0024
41,0.0126,0.0101,0.0300,0.0161,0.0146,0.0213,0.0017,0.0002,0.0123,0.0007,0.0001,0.0005,0.0030,0.0107,0.0054,0.0070,0.0014,0.0001,0.0005,0.0073,0.0103,0.0049,0.0170,0.0139,0.0016,0.0069,0.0025
42,0.0127,0.0102,0.0301,0.0163,0.0147,0.0214,0.0017,0.0002,0.0125,0.0008,0.0001,0.0005,0.0030,0.0109,0.0054,0.0074,0.0014,0.0001,0.0005,0.0073,0.0103,0.0050,0.0171,0.0141,0.0016,0.0073,0.0025
43,0.0128,0.0103,0.0303,0.0165,0.0149,0.0214,0.0018,0.0002,0.0127,0.0009,0.0001,0.0005,0.0030,0.0110,0.0054,0.0079,0.0014,0.0001,0.0005,0.0073,0.0103,0.0050,0.0172,0.0142,0.0017,0.0076,0.0025
44,0.0128,0.0103,0.0303,0.0167,0.0151,0.0215,0.0018,0.0002,0.0129,0.0010,0.0001,0.0005,0.0031,0.0111,0.0054,0.0083,0.0014,0.0001,0.0005,0.0073,0.0103,0.0050,0.0173,0.0144,0.0017,0.0079,0.0026
45,0.0129,0.0104,0.0304,0.0169,0.0152,0.0215,0.0018,0.0002,0.0131,0.0010,0.0001,0.0006,0.0031,0.0112,0.0054,0.0088,0.0015,0.0001,0.0005,0.0073,0.0104,0.0051,0.0173,0.0145,0.0018,0.0083,0.0026
46,0.0129,0.0105,0.0305,0.0171,0.0153,0.0216,0.0018,0.0002,0.0132,0.0011,0.0000,0.0006,0.0032,0.0113,0.0053,0.0093,0.0015,0.0001,0.0005,0.0073,0.0104,0.0051,0.0174,0.0147,0.0018,0.0087,0.0026
47,0.0130,0.0106,0.0306,0.0173,0.0155,0.0216,0.0018,0.0002,0.0134,0.0012,0.0000,0.0006,0.0032,0.0113,0.0053,0.0098,0.0015,0.0001,0.0005,0.0073,0.0104,0.0052,0.0174,0.0148,0.0019,0.0091,0.0027
48,0.0130,0.0106,0.0306,0.0174,0.0156,0.0216,0.0019,0.0002,0.0136,0.0013,0.0000,0.0006,0.0032,0.0114,0.0053,0.0103,0.0015,0.0001,0.0005,0.0073,0.0104,0.0052,0.0174,0.0149,0.0020,0.0094,0.0027
49,0.0131,0.0107,0.0306,0.0176,0.0157,0.0216,0.0019,0.0002,0.0137,0.0014,0.0000,0.0007,0.0033,0.0115,0.0053,0.0109,0.0015,0.0001,0.0006,0.0073,0.0104,0.0052,0.0175,0.0150,0.0020,0.0098,0.0027
50,0.0131,0.0108,0.0307,0.0177,0.0159,0.0216,0.0019,0.0002,0.0139,0.0016,0.0000,0.0007,0.0033,0.0116,0.0053,0.0115,0.0016,0.0001,0.0006,0.0073,0.0105,0.0053,0.0175,0.0151,0.0021,0.0102,0.0028
51,0.0131,0.0109,0.0307,0.0178,0.0160,0.0216,0.0019,0.0002,0.0140,0.0017,0.0000,0.0007,0.0033,0.0117,0.0053,0.0121,0.0016,0.0001,0.0006,0.0073,0.0105,0.0053,0.0175,0.0152,0.0022,0.0107,0.0028
52,0.0131,0.0109,0.0307,0.0180,0.0161,0.0216,0.0020,0.0002,0.0141,0.0018,0.0000,0.0007,0.0034,0.0117,0.0053,0.0127,0.0016,0.0001,0.0006,0.0073,0.0105,0.0053,0.0175,0.0153,0.0023,0.0111,0.0028
53,0.0131,0.0110,0.0307,0.0181,0.0162,0.0216,0.0020,0.0003,0.0143,0.0020,0.0001,0.0008,0.0034,0.0118,0.0053,0.0133,0.0016,0.0001,0.0006,0.0073,0.0105,0.0053,0.0175,0.0154,0.0024,0.0115,0.0029
54,0.0132,0.0111,0.0307,0.0182,0.0163,0.0216,0.0020,0.0003,0.0144,0.0021,0.0001,0.0008,0.0034,0.0119,0.0053,0.0140,0.0016,0.0001,0.0006,0.0073,0.0105,0.0054,0.0175,0.0155,0.0025,0.0120,0.0029
55,0.0132,0.0111,0.0307,0.0183,0.0164,0.0216,0.0020,0.0003,0.0145,0.0023,0.0001,0.0009,0.0035,0.0119,0.0053,0.0147,0.0016,0.0001,0.0007,0.0073,0.0105,0.0054,0.0175,0.0155,0.0027,0.0124,0.0029
56,0.0132,0.0112,0.0307,0.0184,0.0165,0.0216,0.0021,0.0003,0.0146,0.0025,0.0001,0.0009,0.0035,0.0120,0.0053,0.0153,0.0016,0.0001,0.0007,0.0073,0.0105,0.0054,0.0175,0.0156,0.0028,0.0128,0.0030
57,0.0132,0.0113,0.0307,0.0185,0.0166,0.0215,0.0021,0.0003,0.0147,0.0027,0.0001,0.0009,0.0035,0.0120,0.0053,0.0160,0.0017,0.0001,0.0007,0.0072,0.0105,0.0054,0.0175,0.0157,0.0029,0.0133,0.0030
58,0.0132,0.0113,0.0306,0.0186,0.0167,0.0215,0.0021,0.0003,0.0148,0.0029,0.0001,0.0010,0.0035,0.0121,0.0052,0.0168,0.0017,0.0001,0.0007,0.0072,0.0105,0.0054,0.0175,0.0157,0.0031,0.0138,0.0030
59,0.0131,0.0114,0.0306,0.0187,0.0167,0.0215,0.0021,0.0003,0.0149,0.0031,0.0001,0.0010,0.0036,0.0121,0.0052,0.0175,0.0017,0.0001,0.0007,0.0072,0.0105,0.0054,0.0175,0.0158,0.0033,0.0142,0.0031
60,0.0131,0.0115,0.0306,0.0188,0.0168,0.0215,0.0022,0.0003,0.0150,0.0034,0.0001,0.0011,0.0036,0.0121,0.0052,0.0182,0.0017,0.0001,0.0008,0.0072,0.0105,0.0054,0.0175,0.0158,0.0034,0.0147,0.0031
61,0.0131,0.0115,0.0306,0.0189,0.0169,0.0214,0.0022,0.0003,0.0151,0.0036,0.0001,0.0011,0.0036,0.0122,0.0052,0.0189,0.0017,0.0001,0.0008,0.0072,0.0105,0.0055,0.0175,0.0159,0.0036,0.0152,0.0031
62,0.0131,0.0116,0.0305,0.0190,0.0170,0.0214,0.0022,0.0003,0.0152,0.0039,0.0001,0.0012,0.0036,0.0122,0.0052,0.0197,0.0017,0.0001,0.0008,0.0072,0.0104,0.0055,0.0174,0.0159,0.0038,0.0156,0.0032
63,0.0131,0.0117,0.0305,0.0190,0.0170,0.0214,0.0022,0.0003,0.0152,0.0042,0.0001,0.0012,0.0037,0.0123,0.0052,0.0204,0.0017,0.0001,0.0009,0.0071,0.0104,0.0055,0.0174,0.0160,0.0041,0.0161,0.0032
64,0.0130,0.0117,0.0304,0.0191,0.0171,0.0213,0.0023,0.0003,0.0153,0.0045,0.0001,0.0013,0.0037,0.0123,0.0052,0.0211,0.0017,0.0001,0.0009,0.0071,0.0104,0.0055,0.0174,0.0160,0.0043,0.0166,0.0033
65,0.0130,0.0118,0.0304,0.0192,0.0172,0.0213,0.0023,0.0004,0.0154,0.0048,0.0001,0.0013,0.0037,0.0123,0.0052,0.0219,0.0018,0.0001,0.0009,0.0071,0.0104,0.0055,0.0173,0.0160,0.0046,0.0171,0.0033
66,0.0130,0.0119,0.0304,0.0192,0.0172,0.0213,0.0023,0.0004,0.0155,0.0051,0.0001,0.0014,0.0037,0.0124,0.0052,0.0226,0.0018,0.0001,0.0010,0.0071,0.0104,0.0055,0.0173,0.0161,0.0048,0.0175,0.0033
67,0.0129,0.0119,0.0303,0.0193,0.0173,0.0212,0.0024,0.0004,0.0155,0.0055,0.0001,0.0014,0.0037,0.0124,0.0052,0.0233,0.0018,0.0001,0.0010,0.0071,0.0104,0.0055,0.0173,0.0161,0.0051,0.0180,0.0034
68,0.0129,0.0120,0.0303,0.0193,0.0173,0.0212,0.0024,0.0004,0.0156,0.0059,0.0001,0.0015,0.0038,0.0124,0.0052,0.0240,0.0018,0.0001,0.0010,0.0070,0.0104,0.0055,0.0172,0.0161,0.0054,0.0185,0.0034
69,0.0128,0.0121,0.0302,0.0194,0.0174,0.0212,0.0024,0.0004,0.0156,0.0063,0.0001,0.0015,0.0038,0.0124,0.0052,0.0247,0.0018,0.0001,0.0011,0.0070,0.0104,0.0055,0.0172,0.0161,0.0057,0.0190,0.0035
70,0.0128,0.0122,0.0302,0.0194,0.0174,0.0211,0.0025,0.0004,0.0157,0.0067,0.0002,0.0016,0.0038,0.0125,0.0052,0.0253,0.0018,0.0001,0.0011,0.0070,0.0103,0.0055,0.0172,0.0162,0.0061,0.0194,0.0035
71,0.0127,0.0122,0.0302,0.0195,0.0175,0.0211,0.0025,0.0004,0.0158,0.0071,0.0002,0.0016,0.0038,0.0125,0.0052,0.0260,0.0018,0.0001,0.0012,0.0070,0.0103,0.0055,0.0171,0.0162,0.0064,0.0199,0.0035
72,0.0127,0.0123,0.0301,0.0195,0.0175,0.0210,0.0026,0.0004,0.0158,0.0075,0.0002,0.0017,0.0038,0.0125,0.0052,0.0266,0.0018,0.0001,0.0012,0.0070,0.0103,0.0055,0.0171,0.0162,0.0068,0.0203,0.0036
73,0.0126,0.0124,0.0301,0.0196,0.0176,0.0210,0.0026,0.0004,0.0159,0.0080,0.0002,0.0018,0.0039,0.0125,0.0052,0.0272,0.0018,0.0001,0.0013,0.0069,0.0103,0.0055,0.0170,0.0162,0.0071,0.0208,0.0036
74,0.0125,0.0125,0.0300,0.0196,0.0176,0.0210,0.0026,0.0004,0.0159,0.0085,0.0002,0.0018,0.0039,0.0125,0.0052,0.0278,0.0018,0.0001,0.0013,0.0069,0.0103,0.0055,0.0170,0.0162,0.0075,0.0212,0.0037
75,0.0125,0.0125,0.0300,0.0196,0.0177,0.0209,0.0027,0.0004,0.0160,0.0090,0.0002,0.0019,0.0039,0.0125,0.0052,0.0284,0.0018,0.0001,0.0013,0.0069,0.0103,0.0055,0.0169,0.0162,0.0079,0.0217,0.0037
76,0.0124,0.0126,0.0299,0.0197,0.0177,0.0209,0.0027,0.0005,0.0160,0.0095,0.0002,0.0020,0.0039,0.0126,0.0051,0.0289,0.0019,0.0001,0.0014,0.0069,0.0102,0.0055,0.0169,0.0162,0.0083,0.0221,0.0038
77,0.0123,0.0127,0.0299,0.0197,0.0177,0.0209,0.0027,0.0005,0.0160,0.0100,0.0003,0.0020,0.0039,0.0126,0.0051,0.0294,0.0019,0.0001,0.0015,0.0069,0.0102,0.0055,0.0169,0.0162,0.0087,0.0225,0.0038
78,0.0123,0.0128,0.0298,0.0197,0.0178,0.0208,0.0028,0.0005,0.0161,0.0105,0.0003,0.0021,0.0039,0.0126,0.0051,0.0299,0.0019,0.0001,0.0015,0.0068,0.0102,0.0055,0.0168,0.0162,0.0091,0.0229,0.0039
79,0.0122,0.0129,0.0298,0.0198,0.0178,0.0208,0.0028,0.0005,0.0161,0.0111,0.0003,0.0022,0.0040,0.0126,0.0051,0.0304,0.0019,0.0001,0.0016,0.0068,0.0102,0.0055,0.0168,0.0162,0.0096,0.0233,0.0039
80,0.0121,0.0129,0.0298,0.0198,0.0178,0.0207,0.0029,0.0005,0.0161,0.0116,0.0003,0.0022,0.0040,0.0126,0.0051,0.0308,0.0019,0.0001,0.0016,0.0068,0.0102,0.0055,0.0167,0.0162,0.0100,0.0237,0.0040
81,0.0120,0.0130,0.0297,0.0198,0.0179,0.0207,0.0029,0.0005,0.0162,0.0122,0.0004,0.0023,0.0040,0.0126,0.0051,0.0313,0.0019,0.0001,0.0017,0.0068,0.0101,0.0055,0.0167,0.0162,0.0104,0.0241,0.0040
82,0.0120,0.0131,0.0297,0.0198,0.0179,0.0207,0.0029,0.0005,0.0162,0.0128,0.0004,0.0024,0.0040,0.0126,0.0051,0.0316,0.0019,0.0001,0.0018,0.0068,0.0101,0.0055,0.0166,0.0162,0.0109,0.0244,0.0041
83,0.0119,0.0132,0.0296,0.0199,0.0179,0.0206,0.0030,0.0005,0.0162,0.0134,0.0004,0.0024,0.0040,0.0126,0.0051,0.0320,0.0019,0.0001,0.0018,0.0068,0.0101,0.0055,0.0166,0.0161,0.0113,0.0248,0.0041
84,0.0118,0.0133,0.0296,0.0199,0.0180,0.0206,0.0030,0.0005,0.0163,0.0139,0.0004,0.0025,0.0040,0.0127,0.0051,0.0324,0.0019,0.0001,0.0019,0.0067,0.0101,0.0055,0.0165,0.0161,0.0117,0.0251,0.0041
85,0.0117,0.0134,0.0295,0.0199,0.0180,0.0206,0.0030,0.0005,0.0163,0.0145,0.0005,0.0026,0.0040,0.0127,0.0051,0.0327,0.0019,0.0001,0.0020,0.0067,0.0100,0.0055,0.0165,0.0161,0.0122,0.0255,0.0042
86,0.0116,0.0134,0.0295,0.0199,0.0180,0.0205,0.0031,0.0005,0.0163,0.0151,0.0005,0.0026,0.0040,0.0127,0.0051,0.0330,0.0019,0.0001,0.0020,0.0067,0.0100,0.0055,0.0165,0.0161,0.0126,0.0258,0.0042
87,0.0115,0.0135,0.0295,0.0199,0.0180,0.0205,0.0031,0.0005,0.0163,0.0157,0.0005,0.0027,0.0041,0.0127,0.0051,0.0333,0.0019,0.0001,0.0021,0.0067,0.0100,0.0055,0.0164,0.0161,0.0130,0.0261,0.0043
88,0.0114,0.0136,0.0294,0.0200,0.0181,0.0205,0.0031,0.0006,0.0164,0.0162,0.0006,0.0028,0.0041,0.0127,0.0051,0.0335,0.0020,0.0001,0.0022,0.0067,0.0100,0.0055,0.0164,0.0161,0.0135,0.0264,0.0043
89,0.0114,0.0137,0.0294,0.0200,0.0181,0.0204,0.0032,0.0006,0.0164,0.0168,0.0006,0.0028,0.0041,0.0127,0.0051,0.0338,0.0020,0.0001,0.0023,0.0067,0.0100,0.0055,0.0163,0.0160,0.0139,0.0267,0.0044
90,0.0113,0.0138,0.0293,0.0200,0.0181,0.0204,0.0032,0.0006,0.0164,0.0173,0.0006,0.0029,0.0041,0.0127,0.0051,0.0340,0.0020,0.0001,0.0023,0.0066,0.0099,0.0056,0.0163,0.0160,0.0143,0.0270,0.0044
91,0.0112,0.0139,0.0293,0.0200,0.0181,0.0204,0.0033,0.0006,0.0164,0.0179,0.0007,0.0030,0.0041,0.0127,0.0051,0.0342,0.0020,0.0001,0.0024,0.0066,0.0099,0.0056,0.0163,0.0160,0.0147,0.0273,0.0045
92,0.0111,0.0140,0.0293,0.0200,0.0181,0.0203,0.0033,0.0006,0.0165,0.0184,0.0007,0.0030,0.0041,0.0127,0.0051,0.0343,0.0020,0.0001,0.0025,0.0066,0.0099,0.0056,0.0162,0.0160,0.0151,0.0275,0.0045
93,0.0110,0.0140,0.0292,0.0200,0.0182,0.0203,0.0033,0.0006,0.0165,0.0189,0.0008,0.0031,0.0041,0.0127,0.0051,0.0345,0.0020,0.0001,0.0026,0.0066,0.0099,0.0056,0.0162,0.0159,0.0155,0.0278,0.0046
94,0.0109,0.0141,0.0292,0.0200,0.0182,0.0203,0.0034,0.0006,0.0165,0.0194,0.0008,0.0032,0.0041,0.0127,0.0051,0.0346,0.0020,0.0001,0.0027,0.0066,0.0099,0.0056,0.0161,0.0159,0.0159,0.0280,0.0046
95,0.0108,0.0142,0.0292,0.0200,0.0182,0.0203,0.0034,0.0006,0.0165,0.0199,0.0009,0.0032,0.0042,0.0127,0.0051,0.0348,0.0020,0.0001,0.0028,0.0066,0.0098,0.0056,0.0161,0.0159,0.0163,0.0283,0.0047
96,0.0108,0.0143,0.0291,0.0201,0.0182,0.0202,0.0034,0.0006,0.0165,0.0204,0.0009,0.0033,0.0042,0.0127,0.0051,0.0349,0.0020,0.0001,0.0029,0.0066,0.0098,0.0056,0.0161,0.0159,0.0166,0.0285,0.0047
97,0.0107,0.0144,0.0291,0.0201,0.0182,0.0202,0.0034,0.0006,0.0165,0.0208,0.0010,0.0033,0.0042,0.0127,0.0051,0.0350,0.0020,0.0001,0.0029,0.0066,0.0098,0.0056,0.0160,0.0158,0.0170,0.0287,0.0048
98,0.0106,0.0145,0.0291,0.0201,0.0182,0.0202,0.0035,0.0006,0.0165,0.0213,0.0010,0.0034,0.0042,0.0127,0.0051,0.0350,0.0020,0.0001,0.0030,0.0065,0.0098,0.0056,0.0160,0.0158,0.0173,0.0289,0.0048
99,0.0105,0.0146,0.0290,0.0201,0.0183,0.0201,0.0035,0.0006,0.0166,0.0217,0.0011,0.0035,0.0042,0.0127,0.0051,0.0351,0.0020,0.0001,0.0031,0.0065,0.0097,0.0056,0.0160,0.0158,0.0177,0.0291,0.0048
