step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
191,0.3370,0.3370,0.0605,0.0170,0,0.0000,500,0.3370,0.0000,0.2822,0.4090,-0.1268
192,0.3380,0.3380,0.0605,0.0171,0,0.0000,500,0.3380,0.0000,0.2833,0.4099,-0.1266
193,0.3390,0.3390,0.0605,0.0171,0,0.0000,500,0.3390,0.0000,0.2844,0.4108,-0.1264
194,0.3400,0.3400,0.0604,0.0172,0,0.0000,500,0.3400,0.0000,0.2855,0.4116,-0.1261
195,0.3409,0.3409,0.0604,0.0172,0,0.0000,500,0.3409,0.0000,0.2865,0.4125,-0.1259
196,0.3419,0.3419,0.0603,0.0173,0,0.0000,500,0.3419,0.0000,0.2876,0.4133,-0.1257
197,0.3428,0.3428,0.0603,0.0173,0,0.0000,500,0.3428,0.0000,0.2886,0.4141,-0.1255
198,0.3437,0.3437,0.0602,0.0174,0,0.0000,500,0.3437,0.0000,0.2896,0.4149,-0.1254
199,0.3446,0.3446,0.0602,0.0174,0,0.0000,500,0.3446,0.0000,0.2906,0.4157,-0.1252
200,0.3455,0.3455,0.0601,0.0175,0,0.0000,500,0.3455,0.0000,0.2915,0.4165,-0.1250
201,0.3464,0.3464,0.0601,0.0175,0,0.0000,500,0.3464,0.0000,0.2925,0.4173,-0.1248
202,0.3473,0.3473,0.0600,0.0176,0,0.0000,500,0.3473,0.0000,0.2934,0.4181,-0.1246
203,0.3481,0.3481,0.0600,0.0176,0,0.0000,500,0.3481,0.0000,0.2944,0.4189,-0.1245
204,0.3490,0.3490,0.0599,0.0177,0,0.0000,500,0.3490,0.0000,0.2953,0.4196,-0.1243
205,0.3498,0.3498,0.0599,0.0177,0,0.0000,500,0.3498,0.0000,0.2962,0.4203,-0.1242
206,0.3506,0.3506,0.0598,0.0178,0,0.0000,500,0.3506,0.0000,0.2970,0.4211,-0.1240
207,0.3514,0.3514,0.0598,0.0178,0,0.0000,500,0.3514,0.0000,0.2979,0.4218,-0.1239
208,0.3522,0.3522,0.0597,0.0178,0,0.0000,500,0.3522,0.0000,0.2988,0.4225,-0.1237
209,0.3530,0.3530,0.0597,0.0179,0,0.0000,500,0.3530,0.0000,0.2996,0.4232,-0.1236
210,0.3538,0.3538,0.0596,0.0179,0,0.0000,500,0.3538,0.0000,0.3004,0.4239,-0.1235
211,0.3545,0.3545,0.0595,0.0180,0,0.0000,500,0.3545,0.0000,0.3012,0.4246,-0.1234
212,0.3553,0.3553,0.0595,0.0180,0,0.0000,500,0.3553,0.0000,0.3020,0.4253,-0.1232
213,0.3560,0.3560,0.0594,0.0180,0,0.0000,500,0.3560,0.0000,0.3028,0.4259,-0.1231
214,0.3567,0.3567,0.0594,0.0181,0,0.0000,500,0.3567,0.0000,0.3036,0.4266,-0.1230
215,0.3574,0.3574,0.0593,0.0181,0,0.0000,500,0.3574,0.0000,0.3043,0.4272,-0.1229
216,0.3581,0.3581,0.0592,0.0182,0,0.0000,500,0.3581,0.0000,0.3051,0.4279,-0.1228
217,0.3588,0.3588,0.0592,0.0182,0,0.0000,500,0.3588,0.0000,0.3058,0.4285,-0.1227
218,0.3595,0.3595,0.0591,0.0182,0,0.0000,500,0.3595,0.0000,0.3065,0.4291,-0.1226
219,0.3602,0.3602,0.0591,0.0183,0,0.0000,500,0.3602,0.0000,0.3072,0.4297,-0.1225
220,0.3608,0.3608,0.0590,0.0183,0,0.0000,500,0.3608,0.0000,0.3079,0.4303,-0.1224
221,0.3615,0.3615,0.0589,0.0183,0,0.0000,500,0.3615,0.0000,0.3086,0.4309,-0.1223
222,0.3621,0.3621,0.0589,0.0184,0,0.0000,500,0.3621,0.0000,0.3093,0.4315,-0.1222
223,0.3627,0.3627,0.0588,0.0184,0,0.0000,500,0.3627,0.0000,0.3100,0.4321,-0.1221
224,0.3633,0.3633,0.0587,0.0184,0,0.0000,500,0.3633,0.0000,0.3106,0.4327,-0.1220
225,0.3640,0.3640,0.0587,0.0185,0,0.0000,500,0.3640,0.0000,0.3113,0.4332,-0.1220
226,0.3645,0.3645,0.0586,0.0185,0,0.0000,500,0.3645,0.0000,0.3119,0.4338,-0.1219
227,0.3651,0.3651,0.0586,0.0185,0,0.0000,500,0.3651,0.0000,0.3125,0.4343,-0.1218
228,0.3657,0.3657,0.0585,0.0185,0,0.0000,500,0.3657,0.0000,0.3131,0.4349,-0.1217
