step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_10,community_11,community_12,community_20,community_21,community_23,community_32,community_37,community_38,community_57
48,0.0107,0.0048,0.0057,0.0034,0.0134,0.0019,0.0074,0.0052,0.0096,0.0002,0.0043,0.0147,0.0042,0.0091,0.0215,0.0002,0.0043,0.0024,0.0003
49,0.0108,0.0049,0.0058,0.0034,0.0134,0.0019,0.0076,0.0053,0.0099,0.0003,0.0044,0.0148,0.0043,0.0091,0.0213,0.0002,0.0043,0.0025,0.0003
50,0.0109,0.0049,0.0060,0.0035,0.0135,0.0019,0.0078,0.0055,0.0101,0.0003,0.0045,0.0148,0.0045,0.0090,0.0212,0.0002,0.0044,0.0025,0.0003
51,0.0110,0.0049,0.0062,0.0035,0.0136,0.0019,0.0081,0.0056,0.0104,0.0003,0.0046,0.0149,0.0046,0.0090,0.0210,0.0002,0.0045,0.0025,0.0003
52,0.0110,0.0050,0.0063,0.0036,0.0137,0.0019,0.0083,0.0058,0.0107,0.0003,0.0047,0.0149,0.0047,0.0090,0.0209,0.0002,0.0046,0.0025,0.0003
53,0.0111,0.0050,0.0065,0.0036,0.0138,0.0020,0.0085,0.0059,0.0110,0.0003,0.0048,0.0149,0.0049,0.0090,0.0207,0.0002,0.0046,0.0025,0.0003
54,0.0112,0.0050,0.0067,0.0036,0.0138,0.0020,0.0088,0.0061,0.0112,0.0004,0.0049,0.0150,0.0051,0.0090,0.0206,0.0002,0.0047,0.0025,0.0003
55,0.0113,0.0051,0.0068,0.0037,0.0139,0.0020,0.0090,0.0063,0.0115,0.0004,0.0050,0.0150,0.0052,0.0090,0.0204,0.0002,0.0048,0.0025,0.0004
56,0.0113,0.0051,0.0070,0.0037,0.0140,0.0020,0.0093,0.0064,0.0118,0.0004,0.0052,0.0150,0.0054,0.0090,0.0203,0.0002,0.0048,0.0025,0.0004
57,0.0114,0.0051,0.0072,0.0038,0.0140,0.0020,0.0095,0.0066,0.0120,0.0004,0.0053,0.0151,0.0056,0.0090,0.0201,0.0002,0.0049,0.0025,0.0004
